po_id,project_id,material_id,supplier_id,po_date,required_date,ordered_quantity,unit_price,total_value,payment_terms_days,priority,po_status,expected_delivery_date
PO-0000077,PRJ-0001,MAT-0017,SUP-0076,2020-09-10,2020-10-08,182,9084.13,1653311.66,30,Normal,Partially Delivered,2020-09-18
PO-0000078,PRJ-0001,MAT-0128,SUP-0177,2019-04-28,2019-05-16,1020,2608.73,2660904.6,60,Critical,Delivered,2019-05-11
PO-0000079,PRJ-0001,MAT-0147,SUP-0341,2020-08-08,2020-09-06,67,8010.01,536670.67,30,Normal,Delivered,2020-08-24
PO-0000080,PRJ-0001,MAT-0068,SUP-0321,2019-01-12,2019-02-20,108,6451.33,696743.64,30,Normal,Closed,2019-02-07
PO-0000081,PRJ-0001,MAT-0041,SUP-0251,2019-11-08,2019-12-23,408,5569.8,2272478.4,45,High,Delivered,2019-12-11
PO-0000082,PRJ-0001,MAT-0127,SUP-0037,2020-03-18,2020-05-11,552,7356.07,4060550.64,90,High,Delivered,2020-05-01
PO-0000083,PRJ-0001,MAT-0013,SUP-0238,2019-12-28,2020-02-18,16,2795.44,44727.04,90,High,Open,2020-02-07
PO-0000084,PRJ-0001,MAT-0015,SUP-0194,2018-12-31,2019-03-07,79,11220.31,886404.49,60,Normal,Partially Delivered,2019-02-20
PO-0000085,PRJ-0001,MAT-0059,SUP-0162,2020-02-18,2020-04-05,138,4922.58,679316.04,45,Normal,Delivered,2020-03-17
PO-0000086,PRJ-0001,MAT-0018,SUP-0328,2019-03-19,2019-07-01,462,6545.28,3023919.36,90,Normal,Delivered,2019-06-19
PO-0000087,PRJ-0001,MAT-0161,SUP-0227,2019-03-28,2019-04-25,270,2234.13,603215.1,45,Normal,Delivered,2019-04-10
PO-0000088,PRJ-0001,MAT-0094,SUP-0302,2019-02-27,2019-06-15,160,625.25,100040.0,30,Normal,Delivered,2019-05-25
PO-0000089,PRJ-0001,MAT-0176,SUP-0172,2020-11-30,2020-12-23,18,874.27,15736.86,90,Normal,Delivered,2021-01-02
PO-0000090,PRJ-0001,MAT-0242,SUP-0302,2019-07-26,2019-09-06,198,3831.15,758567.7,30,Normal,Delivered,2019-08-24
PO-0000091,PRJ-0001,MAT-0068,SUP-0106,2020-02-17,2020-03-27,243,6106.56,1483894.08,45,Normal,Delivered,2020-03-13
PO-0000092,PRJ-0001,MAT-0132,SUP-0027,2020-07-14,2020-08-20,280,6625.25,1855070.0,60,Normal,Delivered,2020-08-06
PO-0000093,PRJ-0001,MAT-0169,SUP-0001,2020-01-24,2020-02-28,72,7037.19,506677.68,60,Normal,Delivered,2020-02-08
PO-0000094,PRJ-0001,MAT-0077,SUP-0123,2020-07-24,2020-08-23,20,1424.85,28497.0,60,Critical,Closed,2020-08-20
PO-0000095,PRJ-0001,MAT-0007,SUP-0297,2019-01-27,2019-04-19,444,38238.75,16978005.0,60,Normal,Partially Delivered,2019-04-02
PO-0000096,PRJ-0001,MAT-0123,SUP-0318,2020-06-11,2020-06-22,20,927.93,18558.6,60,Critical,Closed,2020-06-16
PO-0000097,PRJ-0001,MAT-0039,SUP-0079,2019-05-29,2019-06-20,180,2926.15,526707.0,30,Critical,Partially Delivered,2019-06-12
PO-0000098,PRJ-0001,MAT-0038,SUP-0163,2020-11-20,2020-12-23,408,8297.64,3385437.12,90,Critical,Closed,2021-01-16
PO-0000099,PRJ-0001,MAT-0101,SUP-0344,2020-06-19,2020-07-27,590,1814.98,1070838.2,90,Normal,Open,2020-07-09
PO-0000100,PRJ-0001,MAT-0205,SUP-0261,2019-12-30,2020-02-13,121,3385.9,409693.9,60,High,Closed,2020-01-27
PO-0000101,PRJ-0001,MAT-0056,SUP-0023,2020-07-25,2020-09-04,192,45862.25,8805552.0,90,High,Delivered,2020-08-20
PO-0000102,PRJ-0001,MAT-0156,SUP-0013,2019-01-29,2019-03-14,395,8146.1,3217709.5,90,Normal,Delivered,2019-02-22
PO-0000103,PRJ-0001,MAT-0225,SUP-0261,2020-11-07,2020-12-23,174,8052.57,1401147.18,60,Normal,Delivered,2021-01-07
PO-0000104,PRJ-0001,MAT-0217,SUP-0251,2020-02-14,2020-06-02,1134,7375.66,8363998.44,45,High,Delivered,2020-05-13
PO-0000105,PRJ-0001,MAT-0027,SUP-0253,2019-10-02,2019-12-13,90,25905.31,2331477.9,60,Normal,Open,2019-11-28
PO-0000106,PRJ-0001,MAT-0036,SUP-0343,2020-01-10,2020-04-26,253,2937.16,743101.48,60,Normal,Delivered,2020-04-07
PO-0000107,PRJ-0001,MAT-0026,SUP-0029,2019-10-20,2019-11-13,912,1187.73,1083209.76,30,Normal,Closed,2019-10-23
PO-0000108,PRJ-0001,MAT-0184,SUP-0297,2019-12-10,2020-02-11,360,1717.5,618300.0,60,High,Delivered,2020-01-28
PO-0000109,PRJ-0001,MAT-0234,SUP-0106,2018-12-06,2019-02-28,855,563.87,482108.85,45,High,Open,2019-02-13
PO-0000110,PRJ-0001,MAT-0197,SUP-0111,2019-11-02,2020-01-23,30,692.04,20761.2,90,Normal,Open,2020-01-04
PO-0000111,PRJ-0001,MAT-0101,SUP-0289,2020-05-20,2020-06-27,590,1784.78,1053020.2,60,Normal,Delivered,2020-06-07
PO-0000112,PRJ-0001,MAT-0203,SUP-0188,2020-10-10,2020-10-24,940,7087.15,6661921.0,45,Critical,Closed,2020-10-19
PO-0000113,PRJ-0001,MAT-0019,SUP-0257,2019-12-16,2020-01-12,143,3174.13,453900.59,90,High,Delivered,2020-01-03
PO-0000114,PRJ-0001,MAT-0066,SUP-0313,2020-11-29,2020-12-23,384,7332.86,2815818.24,90,High,Delivered,2021-01-23
PO-0000115,PRJ-0001,MAT-0144,SUP-0182,2020-11-24,2020-12-23,40,8615.2,344608.0,45,Normal,Delivered,2021-01-30
PO-0000116,PRJ-0001,MAT-0011,SUP-0073,2019-10-05,2019-11-17,256,12904.12,3303454.72,30,High,Delivered,2019-11-02
PO-0000117,PRJ-0001,MAT-0053,SUP-0289,2019-05-28,2019-06-11,377,18147.41,6841573.57,60,High,Open,2019-06-01
PO-0000118,PRJ-0001,MAT-0223,SUP-0027,2020-04-21,2020-05-26,1008,1870.22,1885181.76,60,Critical,Closed,2020-05-21
PO-0000119,PRJ-0001,MAT-0069,SUP-0188,2019-09-13,2019-11-06,374,30420.09,11377113.66,45,Normal,Delivered,2019-10-22
PO-0000120,PRJ-0001,MAT-0201,SUP-0028,2018-12-03,2018-12-30,98,4993.71,489383.58,60,Normal,Open,2018-12-15
PO-0000121,PRJ-0001,MAT-0236,SUP-0175,2019-06-09,2019-08-07,520,8525.85,4433442.0,30,Normal,Delivered,2019-08-02
PO-0000122,PRJ-0001,MAT-0096,SUP-0252,2019-07-13,2019-09-02,52,19422.14,1009951.28,90,High,Delivered,2019-08-23
PO-0000123,PRJ-0001,MAT-0042,SUP-0219,2020-04-21,2020-06-16,78,21029.49,1640300.22,90,Normal,Closed,2020-05-31
PO-0000124,PRJ-0001,MAT-0191,SUP-0100,2019-07-11,2019-09-30,396,23468.67,9293593.32,60,High,Delivered,2019-09-18
PO-0000125,PRJ-0002,MAT-0107,SUP-0163,2026-02-08,2026-04-23,1196,1646.75,1969513.0,90,Normal,Open,2026-04-05
PO-0000126,PRJ-0002,MAT-0106,SUP-0256,2025-10-24,2026-02-03,328,4853.08,1591810.24,90,Normal,Delivered,2026-01-19
PO-0000127,PRJ-0002,MAT-0055,SUP-0271,2026-04-02,2026-05-25,168,2224.91,373784.88,60,Normal,Closed,2026-05-08
PO-0000128,PRJ-0002,MAT-0144,SUP-0297,2026-02-02,2026-04-22,320,8874.45,2839824.0,60,High,Delivered,2026-04-14
PO-0000129,PRJ-0002,MAT-0248,SUP-0076,2026-07-26,2026-09-13,180,1023.41,184213.8,30,Normal,Partially Delivered,2026-09-21
PO-0000130,PRJ-0002,MAT-0008,SUP-0038,2026-04-21,2026-07-17,19,9991.24,189833.56,90,Normal,Delivered,2026-07-03
PO-0000131,PRJ-0002,MAT-0062,SUP-0181,2026-01-10,2026-03-06,252,7207.59,1816312.68,60,Normal,Closed,2026-02-24
PO-0000132,PRJ-0002,MAT-0155,SUP-0108,2026-04-21,2026-06-03,54,10491.89,566562.06,90,Normal,Closed,2026-05-16
PO-0000133,PRJ-0002,MAT-0168,SUP-0085,2026-08-22,2026-09-13,497,1458.27,724760.19,60,High,Open,2026-11-05
PO-0000134,PRJ-0002,MAT-0209,SUP-0278,2025-11-09,2026-01-06,171,8684.26,1485008.46,45,Normal,Delivered,2025-12-17
PO-0000135,PRJ-0002,MAT-0237,SUP-0097,2026-07-01,2026-08-26,168,10957.7,1840893.6,30,Normal,Delivered,2026-08-13
PO-0000136,PRJ-0002,MAT-0179,SUP-0326,2026-02-25,2026-05-03,189,1341.43,253530.27,45,High,Partially Delivered,2026-04-12
PO-0000137,PRJ-0002,MAT-0156,SUP-0347,2026-01-17,2026-03-02,79,7683.81,607020.99,90,Normal,Delivered,2026-02-10
PO-0000138,PRJ-0002,MAT-0211,SUP-0040,2026-07-21,2026-08-27,56,1993.13,111615.28,45,Normal,Delivered,2026-08-06
PO-0000139,PRJ-0002,MAT-0153,SUP-0271,2026-06-20,2026-09-13,560,854.46,478497.6,60,Normal,Open,2026-09-08
PO-0000140,PRJ-0002,MAT-0001,SUP-0090,2026-06-09,2026-09-09,260,11803.45,3068897.0,60,High,Partially Delivered,2026-08-26
PO-0000141,PRJ-0002,MAT-0243,SUP-0199,2026-07-13,2026-08-09,4,4382.51,17530.04,90,High,Delivered,2026-08-02
PO-0000142,PRJ-0002,MAT-0173,SUP-0249,2026-04-23,2026-08-03,192,1865.68,358210.56,90,Normal,Open,2026-07-16
PO-0000143,PRJ-0002,MAT-0134,SUP-0051,2026-08-09,2026-09-13,702,1454.63,1021150.26,90,Normal,Delivered,2026-10-06
PO-0000144,PRJ-0002,MAT-0161,SUP-0295,2026-03-17,2026-04-14,216,2068.23,446737.68,30,Normal,Delivered,2026-03-24
PO-0000145,PRJ-0002,MAT-0061,SUP-0229,2025-11-25,2026-01-11,490,7683.94,3765130.6,60,High,Delivered,2026-01-03
PO-0000146,PRJ-0002,MAT-0098,SUP-0039,2025-11-13,2025-12-10,240,1014.71,243530.4,30,Normal,Open,2025-11-20
PO-0000147,PRJ-0002,MAT-0055,SUP-0007,2026-01-25,2026-03-19,132,2202.48,290727.36,90,Normal,Closed,2026-03-07
PO-0000148,PRJ-0002,MAT-0153,SUP-0239,2025-11-29,2026-03-10,224,835.59,187172.16,90,Normal,Partially Delivered,2026-02-20
PO-0000149,PRJ-0002,MAT-0110,SUP-0062,2026-08-18,2026-09-13,868,1413.48,1226900.64,90,Normal,Delivered,2026-10-08
PO-0000150,PRJ-0002,MAT-0001,SUP-0239,2026-08-09,2026-09-13,180,14100.68,2538122.4,90,Normal,Delivered,2026-10-27
PO-0000151,PRJ-0002,MAT-0157,SUP-0315,2025-12-01,2026-01-29,59,18019.71,1063162.89,30,Normal,Closed,2026-01-15
PO-0000152,PRJ-0002,MAT-0151,SUP-0316,2026-05-02,2026-05-26,96,1974.08,189511.68,30,Normal,Delivered,2026-05-06
PO-0000153,PRJ-0002,MAT-0006,SUP-0045,2026-06-22,2026-08-05,376,3452.69,1298211.44,45,Normal,Delivered,2026-07-27
PO-0000154,PRJ-0002,MAT-0013,SUP-0283,2026-09-06,2026-09-13,44,2606.93,114704.92,30,High,Open,2026-10-18
PO-0000155,PRJ-0002,MAT-0026,SUP-0130,2026-08-23,2026-09-13,608,1159.71,705103.68,45,Normal,Delivered,2026-08-27
PO-0000156,PRJ-0002,MAT-0146,SUP-0184,2025-12-06,2026-02-06,280,807.98,226234.4,60,High,Partially Delivered,2026-01-16
PO-0000157,PRJ-0002,MAT-0043,SUP-0298,2026-05-18,2026-06-20,623,29844.19,18592930.37,30,Normal,Delivered,2026-06-03
PO-0000158,PRJ-0002,MAT-0053,SUP-0245,2026-06-15,2026-06-29,290,17984.82,5215597.8,30,High,Partially Delivered,2026-06-19
PO-0000159,PRJ-0002,MAT-0180,SUP-0212,2026-04-01,2026-05-12,169,13214.78,2233297.82,90,Critical,Delivered,2026-05-11
PO-0000160,PRJ-0002,MAT-0034,SUP-0142,2025-10-26,2025-12-25,98,6583.25,645158.5,30,High,Delivered,2025-12-15
PO-0000161,PRJ-0002,MAT-0248,SUP-0225,2026-02-10,2026-04-24,108,1028.6,111088.8,30,Normal,Delivered,2026-04-06
PO-0000162,PRJ-0002,MAT-0079,SUP-0293,2026-08-21,2026-09-13,468,7560.25,3538197.0,60,High,Delivered,2026-10-30
PO-0000163,PRJ-0002,MAT-0086,SUP-0181,2026-01-27,2026-02-27,170,8046.6,1367922.0,60,Critical,Delivered,2026-02-23
PO-0000164,PRJ-0002,MAT-0177,SUP-0089,2026-01-06,2026-03-21,902,25610.12,23100328.24,60,Normal,Closed,2026-03-11
PO-0000165,PRJ-0002,MAT-0016,SUP-0251,2026-03-25,2026-05-06,123,10970.11,1349323.53,45,Normal,Delivered,2026-04-22
PO-0000166,PRJ-0002,MAT-0062,SUP-0180,2026-03-25,2026-05-19,18,7687.7,138378.6,60,High,Delivered,2026-05-07
PO-0000167,PRJ-0002,MAT-0002,SUP-0227,2026-01-29,2026-03-27,52,3488.05,181378.6,45,Normal,Closed,2026-03-20
PO-0000168,PRJ-0002,MAT-0159,SUP-0347,2026-09-06,2026-09-13,702,3658.16,2568028.32,90,High,Partially Delivered,2026-11-06
PO-0000169,PRJ-0002,MAT-0069,SUP-0299,2026-07-13,2026-09-05,272,25554.57,6950843.04,90,Normal,Delivered,2026-08-21
PO-0000170,PRJ-0002,MAT-0101,SUP-0251,2026-01-10,2026-02-17,118,1585.19,187052.42,45,Normal,Delivered,2026-01-28
PO-0000171,PRJ-0002,MAT-0086,SUP-0073,2026-07-19,2026-08-19,425,8492.21,3609189.25,30,Critical,Closed,2026-08-14
PO-0000172,PRJ-0002,MAT-0139,SUP-0125,2025-12-25,2026-03-22,22,19958.67,439090.74,90,High,Closed,2026-03-07
PO-0000173,PRJ-0002,MAT-0059,SUP-0227,2026-05-09,2026-06-25,184,4779.04,879343.36,45,Normal,Delivered,2026-06-05
PO-0000174,PRJ-0002,MAT-0193,SUP-0034,2026-06-08,2026-06-23,1274,36752.8,46823067.2,90,Normal,Delivered,2026-06-15
PO-0000175,PRJ-0002,MAT-0223,SUP-0124,2026-01-24,2026-02-28,288,1667.09,480121.92,90,Critical,Closed,2026-02-23
PO-0000176,PRJ-0002,MAT-0122,SUP-0250,2026-06-30,2026-09-13,15,24190.35,362855.25,90,Normal,Delivered,2026-09-21
PO-0000177,PRJ-0002,MAT-0009,SUP-0238,2026-02-13,2026-03-22,658,8788.3,5782701.4,90,Normal,Delivered,2026-03-10
PO-0000178,PRJ-0002,MAT-0089,SUP-0223,2025-12-11,2026-03-18,162,6728.79,1090063.98,90,Normal,Delivered,2026-03-05
PO-0000179,PRJ-0002,MAT-0124,SUP-0074,2025-10-19,2025-11-07,18,506.36,9114.48,30,Normal,Delivered,2025-10-24
PO-0000180,PRJ-0002,MAT-0090,SUP-0076,2026-04-11,2026-06-30,664,2903.19,1927718.16,30,Normal,Closed,2026-06-17
PO-0000181,PRJ-0002,MAT-0019,SUP-0069,2026-07-17,2026-08-13,77,3207.27,246959.79,30,High,Open,2026-08-07
PO-0000182,PRJ-0002,MAT-0183,SUP-0033,2026-07-06,2026-09-13,84,14964.06,1256981.04,45,Normal,Closed,2026-09-02
PO-0000183,PRJ-0002,MAT-0112,SUP-0287,2026-01-21,2026-03-01,416,2275.54,946624.64,90,High,Closed,2026-02-14
PO-0000184,PRJ-0002,MAT-0051,SUP-0180,2025-11-08,2025-12-05,975,5458.62,5322154.5,60,High,Partially Delivered,2025-11-21
PO-0000185,PRJ-0002,MAT-0236,SUP-0294,2026-05-19,2026-07-17,240,9025.31,2166074.4,30,Normal,Delivered,2026-07-07
PO-0000186,PRJ-0002,MAT-0146,SUP-0085,2026-05-03,2026-07-04,400,721.4,288560.0,60,Normal,Delivered,2026-06-15
PO-0000187,PRJ-0002,MAT-0222,SUP-0150,2026-04-28,2026-07-28,630,4117.15,2593804.5,45,Normal,Closed,2026-07-08
PO-0000188,PRJ-0002,MAT-0111,SUP-0111,2026-05-23,2026-08-13,143,5254.48,751390.64,90,Normal,Delivered,2026-08-01
PO-0000189,PRJ-0002,MAT-0244,SUP-0341,2025-12-07,2026-02-18,462,4732.93,2186613.66,30,High,Closed,2026-02-10
PO-0000190,PRJ-0002,MAT-0057,SUP-0188,2026-05-19,2026-06-10,144,1501.04,216149.76,45,High,Delivered,2026-05-31
