equipment_id,equipment_type,operating_hours,downtime_hours,utilization_rate,maintenance_cost
EQP-00111,Crane,187,30.06,0.8615,9081.15
EQP-00112,Crane,7486,21.36,0.9972,1359.48
EQP-00113,Welding Machine,10905,28.68,0.9974,4602.28
EQP-00114,Manlift,5040,25.24,0.995,10728.58
EQP-00115,Concrete Pump,5224,71.19,0.9866,2546.91
EQP-00116,Generator,13848,113.35,0.9919,3239.77
EQP-00117,Forklift,18962,69.56,0.9963,4445.66
EQP-00118,Concrete Pump,8075,42.11,0.9948,442.53
EQP-00119,Compressor,18987,12.01,0.9994,2096.81
EQP-00120,Generator,9597,70.82,0.9927,4524.44
EQP-00121,Concrete Pump,11835,26.52,0.9978,6266.7
EQP-00122,Welding Machine,5001,69.04,0.9864,3003.72
EQP-00123,Forklift,10574,39.43,0.9963,3326.99
EQP-00124,Manlift,2652,31.89,0.9881,1169.84
EQP-00125,Forklift,4993,15.83,0.9968,6216.63
EQP-00126,Crane,1213,69.94,0.9455,2114.35
EQP-00127,Forklift,11349,25.98,0.9977,331.06
EQP-00128,Crane,18065,3.83,0.9998,15315.71
EQP-00129,Excavator,14212,17.99,0.9987,84.99
EQP-00130,Manlift,10084,143.02,0.986,1523.12
EQP-00131,Concrete Pump,15434,7.09,0.9995,3358.91
EQP-00132,Crane,6739,58.2,0.9914,6647.47
EQP-00133,Excavator,14258,62.3,0.9956,930.59
EQP-00134,Welding Machine,4089,81.09,0.9806,16068.01
EQP-00135,Generator,16874,86.78,0.9949,4063.8
EQP-00136,Generator,9646,24.84,0.9974,1740.14
EQP-00137,Crane,18820,7.05,0.9996,1561.61
EQP-00138,Compressor,19912,1.86,0.9999,393.96
EQP-00139,Welding Machine,16827,40.15,0.9976,2199.42
EQP-00140,Welding Machine,15909,38.87,0.9976,6961.98
EQP-00141,Forklift,17635,44.3,0.9975,4254.37
EQP-00142,Welding Machine,13814,31.13,0.9978,1206.85
EQP-00143,Welding Machine,2491,10.42,0.9958,1609.17
EQP-00144,Crane,10388,31.54,0.997,3169.63
EQP-00145,Excavator,7890,62.4,0.9922,2461.24
EQP-00146,Manlift,12198,49.59,0.996,524.4
EQP-00147,Crane,11373,40.57,0.9964,3743.63
EQP-00148,Manlift,14298,81.1,0.9944,2201.69
EQP-00149,Manlift,13052,26.31,0.998,7025.32
EQP-00150,Concrete Pump,10191,11.25,0.9989,3954.22
EQP-00151,Manlift,8395,10.69,0.9987,26517.46
EQP-00152,Concrete Pump,19410,23.54,0.9988,640.8
EQP-00153,Welding Machine,10212,21.62,0.9979,3983.8
EQP-00154,Manlift,6572,48.49,0.9927,13757.46
EQP-00155,Compressor,4516,19.45,0.9957,7446.59
EQP-00156,Crane,4843,6.01,0.9988,861.63
EQP-00157,Concrete Pump,18638,8.43,0.9995,1132.39
EQP-00158,Concrete Pump,14823,55.37,0.9963,1426.85
EQP-00159,Compressor,2127,23.2,0.9892,4116.24
EQP-00160,Concrete Pump,5333,47.04,0.9913,1818.99
EQP-00161,Concrete Pump,12251,13.04,0.9989,20601.61
EQP-00162,Welding Machine,15614,23.93,0.9985,2053.74
EQP-00163,Forklift,2379,28.67,0.9881,5975.8
EQP-00164,Forklift,13532,7.72,0.9994,35004.15
EQP-00165,Forklift,12800,25.36,0.998,6237.33
EQP-00166,Manlift,3815,10.11,0.9974,3631.02
EQP-00167,Manlift,9966,107.43,0.9893,22058.76
EQP-00168,Crane,1740,50.91,0.9716,1050.63
EQP-00169,Concrete Pump,19266,75.46,0.9961,391.37
EQP-00170,Welding Machine,19250,15.04,0.9992,2702.94
EQP-00171,Excavator,7787,6.6,0.9992,1591.99
EQP-00172,Concrete Pump,19681,57.98,0.9971,1265.66
EQP-00173,Excavator,17106,59.91,0.9965,52006.43
EQP-00174,Compressor,1306,44.38,0.9671,7943.67
EQP-00175,Generator,17233,77.22,0.9955,1767.84
EQP-00176,Excavator,9458,58.2,0.9939,1718.82
EQP-00177,Manlift,6447,42.12,0.9935,9343.76
EQP-00178,Manlift,18766,16.22,0.9991,184.12
EQP-00179,Crane,11485,14.85,0.9987,11333.96
EQP-00180,Crane,1045,13.17,0.9876,10498.72
EQP-00181,Concrete Pump,17966,14.92,0.9992,2285.08
EQP-00182,Generator,4687,32.98,0.993,860.84
EQP-00183,Crane,3335,28.18,0.9916,456.61
EQP-00184,Generator,8261,25.07,0.997,2656.02
EQP-00185,Forklift,4657,2.32,0.9995,984.9
EQP-00186,Excavator,6733,41.18,0.9939,758.85
EQP-00187,Generator,9945,46.28,0.9954,5758.81
EQP-00188,Excavator,6448,41.04,0.9937,7580.4
EQP-00189,Crane,16349,6.56,0.9996,9917.88
EQP-00190,Compressor,1868,13.32,0.9929,3357.13
EQP-00191,Welding Machine,5685,104.62,0.9819,1908.25
EQP-00192,Welding Machine,19904,33.63,0.9983,881.76
EQP-00193,Compressor,19368,103.94,0.9947,987.31
EQP-00194,Forklift,3054,52.73,0.983,13354.36
EQP-00195,Generator,10356,56.32,0.9946,4487.05
EQP-00196,Forklift,14744,35.54,0.9976,641.74
EQP-00197,Concrete Pump,16920,100.87,0.9941,4049.13
EQP-00198,Compressor,3044,33.65,0.9891,802.58
EQP-00199,Excavator,1298,34.92,0.9738,2803.33
EQP-00200,Crane,18490,104.62,0.9944,3022.18
EQP-00201,Manlift,11496,34.49,0.997,813.29
EQP-00202,Forklift,3728,17.54,0.9953,5505.3
EQP-00203,Concrete Pump,6935,5.21,0.9992,9846.21
EQP-00204,Excavator,3209,67.46,0.9794,1081.33
EQP-00205,Compressor,3786,43.05,0.9888,13971.81
EQP-00206,Compressor,15285,30.03,0.998,2032.6
EQP-00207,Compressor,18492,28.38,0.9985,4037.83
EQP-00208,Generator,8617,19.6,0.9977,1840.16
EQP-00209,Concrete Pump,3284,40.9,0.9877,1673.23
EQP-00210,Excavator,13671,11.43,0.9992,319.19
EQP-00211,Manlift,12924,34.14,0.9974,12797.79
EQP-00212,Concrete Pump,13090,44.64,0.9966,770.21
EQP-00213,Manlift,15595,17.43,0.9989,2015.22
EQP-00214,Excavator,164,106.84,0.6055,29321.38
EQP-00215,Generator,19761,102.21,0.9949,3488.65
EQP-00216,Forklift,12570,201.21,0.9842,1275.74
EQP-00217,Compressor,302,24.84,0.924,8869.04
EQP-00218,Generator,6826,41.06,0.994,4464.44
EQP-00219,Concrete Pump,6225,13.86,0.9978,2779.17
EQP-00220,Manlift,11725,18.44,0.9984,595.49
EQP-00221,Compressor,9629,20.4,0.9979,4165.69
EQP-00222,Generator,270,55.75,0.8289,307.87
EQP-00223,Crane,17683,33.02,0.9981,2633.04
EQP-00224,Manlift,6102,39.5,0.9936,785.78
EQP-00225,Manlift,7161,12.32,0.9983,13278.97
EQP-00226,Compressor,4524,16.12,0.9964,1826.09
EQP-00227,Forklift,1728,25.91,0.9852,1324.49
EQP-00228,Concrete Pump,10528,47.29,0.9955,4758.23
EQP-00229,Welding Machine,2308,29.67,0.9873,1412.83
EQP-00230,Crane,8228,27.84,0.9966,3241.86
EQP-00231,Welding Machine,3638,17.45,0.9952,5806.3
EQP-00232,Excavator,3786,65.88,0.9829,16706.65
EQP-00233,Compressor,10743,82.38,0.9924,2035.53
EQP-00234,Manlift,827,36.51,0.9577,2442.09
EQP-00235,Generator,5716,29.14,0.9949,2255.84
EQP-00236,Excavator,7291,33.49,0.9954,12068.68
EQP-00237,Manlift,16702,41.98,0.9975,749.17
EQP-00238,Forklift,3371,63.98,0.9814,3842.7
EQP-00239,Forklift,133,47.68,0.7361,4218.48
EQP-00240,Compressor,10619,42.78,0.996,4719.52
EQP-00241,Concrete Pump,16356,5.7,0.9997,5287.15
EQP-00242,Forklift,13669,18.12,0.9987,1667.64
EQP-00243,Compressor,13185,33.28,0.9975,20748.92
EQP-00244,Manlift,4291,13.57,0.9968,2856.26
EQP-00245,Manlift,11097,27.15,0.9976,9038.33
EQP-00246,Excavator,15977,26.55,0.9983,3896.16
EQP-00247,Manlift,3148,13.61,0.9957,11221.82
EQP-00248,Concrete Pump,6127,8.5,0.9986,5198.08
EQP-00249,Forklift,10558,39.62,0.9963,4671.63
EQP-00250,Crane,11714,8.63,0.9993,2073.22
EQP-00251,Concrete Pump,15044,61.24,0.9959,25674.26
EQP-00252,Concrete Pump,14720,30.58,0.9979,7481.49
EQP-00253,Compressor,11832,36.82,0.9969,2776.26
EQP-00254,Forklift,8114,23.74,0.9971,2991.68
EQP-00255,Crane,16561,53.8,0.9968,7387.15
EQP-00256,Crane,6170,10.54,0.9983,1634.52
EQP-00257,Welding Machine,18800,12.98,0.9993,3173.56
EQP-00258,Forklift,17436,25.37,0.9985,4482.12
EQP-00259,Manlift,18296,45.07,0.9975,237.57
EQP-00260,Manlift,15405,2.78,0.9998,2964.43
EQP-00261,Forklift,1376,74.36,0.9487,1635.28
EQP-00262,Crane,10935,21.48,0.998,9733.84
EQP-00263,Generator,7314,58.76,0.992,947.9
EQP-00264,Compressor,17146,54.82,0.9968,1194.18
EQP-00265,Excavator,16201,21.29,0.9987,946.95
EQP-00266,Manlift,18728,10.45,0.9994,3400.16
EQP-00267,Generator,2194,8.92,0.996,3568.18
EQP-00268,Forklift,12712,36.48,0.9971,2478.92
EQP-00269,Excavator,5799,22.88,0.9961,1375.76
EQP-00270,Crane,7383,12.61,0.9983,16884.5
EQP-00271,Excavator,4767,28.5,0.9941,2263.91
EQP-00272,Manlift,9066,14.88,0.9984,14513.23
EQP-00273,Compressor,8081,20.37,0.9975,3993.82
EQP-00274,Excavator,18775,45.8,0.9976,3403.21
EQP-00275,Concrete Pump,4549,8.7,0.9981,6528.25
EQP-00276,Generator,3198,20.19,0.9937,7738.16
EQP-00277,Concrete Pump,15949,31.63,0.998,5396.3
EQP-00278,Manlift,2452,76.78,0.9696,6228.68
EQP-00279,Crane,4278,48.63,0.9888,6910.99
EQP-00280,Welding Machine,13655,16.74,0.9988,8170.33
EQP-00281,Concrete Pump,4780,26.8,0.9944,2233.84
EQP-00282,Excavator,5421,35.41,0.9935,1932.32
EQP-00283,Compressor,6226,13.77,0.9978,2992.1
EQP-00284,Generator,1827,27.61,0.9851,2155.58
EQP-00285,Welding Machine,14959,30.86,0.9979,240.58
EQP-00286,Welding Machine,5441,26.99,0.9951,15647.23
EQP-00287,Generator,8525,78.9,0.9908,3117.15
EQP-00288,Compressor,4109,33.43,0.9919,184.28
EQP-00289,Excavator,8290,21.18,0.9975,6823.48
EQP-00290,Crane,15218,24.36,0.9984,10262.32
EQP-00291,Generator,1316,64.88,0.953,1519.63
EQP-00292,Generator,3673,36.27,0.9902,17457.84
EQP-00293,Welding Machine,19118,8.49,0.9996,1927.71
EQP-00294,Forklift,18936,7.6,0.9996,1061.02
EQP-00295,Welding Machine,7740,104.85,0.9866,1926.96
EQP-00296,Compressor,18626,4.35,0.9998,900.16
EQP-00297,Welding Machine,5245,6.74,0.9987,3562.98
EQP-00298,Forklift,15116,45.32,0.997,8313.39
EQP-00299,Concrete Pump,12823,52.49,0.9959,571.54
EQP-00300,Manlift,12003,43.68,0.9964,2516.98
EQP-00301,Generator,1991,66.7,0.9676,7333.05
EQP-00302,Excavator,6867,113.9,0.9837,980.6
EQP-00303,Excavator,636,12.79,0.9803,1663.31
EQP-00304,Excavator,10476,30.76,0.9971,1327.36
EQP-00305,Forklift,6941,15.39,0.9978,4259.95
EQP-00306,Compressor,18593,22.23,0.9988,1266.15
EQP-00307,Crane,14018,8.91,0.9994,200.39
EQP-00308,Crane,8205,80.58,0.9903,14026.12
EQP-00309,Compressor,13870,57.9,0.9958,5590.04
EQP-00310,Forklift,1340,20.55,0.9849,5880.67
EQP-00311,Excavator,18506,11.94,0.9994,3307.03
EQP-00312,Generator,16125,16.77,0.999,5911.44
EQP-00313,Excavator,4415,91.6,0.9797,896.46
EQP-00314,Forklift,11590,21.42,0.9982,3234.35
EQP-00315,Manlift,7643,5.05,0.9993,458.86
EQP-00316,Generator,5491,89.84,0.9839,4282.81
EQP-00317,Compressor,7073,19.6,0.9972,2846.24
EQP-00318,Crane,10689,22.37,0.9979,3350.6
EQP-00319,Excavator,17278,23.07,0.9987,2595.15
EQP-00320,Welding Machine,10571,53.52,0.995,6077.0
EQP-00321,Crane,19847,86.51,0.9957,4664.16
EQP-00322,Compressor,18434,33.94,0.9982,20828.64
EQP-00323,Compressor,18277,28.01,0.9985,220.36
EQP-00324,Generator,4865,58.39,0.9881,4026.03
EQP-00325,Forklift,18731,32.74,0.9983,8014.76
EQP-00326,Forklift,1259,23.23,0.9819,231.59
EQP-00327,Compressor,4375,60.28,0.9864,1347.9
EQP-00328,Excavator,17045,14.1,0.9992,244.38
EQP-00329,Welding Machine,7855,56.83,0.9928,151.89
EQP-00330,Compressor,14615,76.38,0.9948,1964.46
EQP-00331,Crane,2662,58.72,0.9784,4840.36
EQP-00332,Forklift,14151,106.78,0.9925,4680.94
EQP-00333,Generator,10178,74.48,0.9927,1520.96
EQP-00334,Generator,2360,7.07,0.997,9518.19
EQP-00335,Compressor,19224,6.84,0.9996,7262.18
EQP-00336,Forklift,9896,12.57,0.9987,4122.09
EQP-00337,Welding Machine,4569,108.09,0.9769,6564.72
EQP-00338,Welding Machine,19815,28.11,0.9986,4980.85
EQP-00339,Crane,7352,21.5,0.9971,47658.36
EQP-00340,Crane,13248,17.78,0.9987,2615.02
EQP-00341,Crane,7835,50.06,0.9937,4551.23
EQP-00342,Welding Machine,194,46.88,0.8054,1622.09
EQP-00343,Compressor,17437,27.2,0.9984,8951.48
EQP-00344,Manlift,3525,60.91,0.983,4686.01
EQP-00345,Manlift,4038,80.75,0.9804,9428.65
EQP-00346,Welding Machine,10861,59.65,0.9945,434.27
EQP-00347,Excavator,12564,43.66,0.9965,3687.54
EQP-00348,Manlift,19310,87.69,0.9955,95.54
EQP-00349,Generator,9187,29.26,0.9968,3337.64
EQP-00350,Crane,2370,12.41,0.9948,993.28
EQP-00351,Manlift,3953,87.88,0.9783,5190.86
EQP-00352,Excavator,17221,108.25,0.9938,2394.67
EQP-00353,Manlift,13318,8.57,0.9994,2020.74
EQP-00354,Excavator,7171,22.18,0.9969,6860.97
EQP-00355,Manlift,7350,53.15,0.9928,5518.38
EQP-00356,Welding Machine,10198,130.41,0.9874,13536.23
EQP-00357,Forklift,2639,15.82,0.994,9843.71
EQP-00358,Manlift,12456,34.06,0.9973,2318.58
EQP-00359,Excavator,8518,84.18,0.9902,998.51
EQP-00360,Generator,3325,63.22,0.9813,7292.48
EQP-00361,Manlift,14330,14.64,0.999,418.82
EQP-00362,Compressor,10668,31.22,0.9971,85.91
EQP-00363,Generator,2069,71.46,0.9666,4594.94
EQP-00364,Compressor,14705,85.99,0.9942,4221.93
EQP-00365,Manlift,11997,89.82,0.9926,1462.84
EQP-00366,Crane,14372,48.31,0.9966,1855.12
EQP-00367,Generator,18077,30.47,0.9983,3323.89
EQP-00368,Forklift,6102,43.44,0.9929,1249.46
EQP-00369,Forklift,14127,46.67,0.9967,3128.5
EQP-00370,Concrete Pump,1008,9.1,0.9911,357.4
EQP-00371,Excavator,7058,71.64,0.99,197.85
EQP-00372,Manlift,4569,29.3,0.9936,518.76
EQP-00373,Excavator,16068,99.63,0.9938,5860.41
EQP-00374,Manlift,3862,42.6,0.9891,1128.47
EQP-00375,Forklift,15050,8.97,0.9994,3694.09
EQP-00376,Forklift,5042,32.75,0.9935,823.83
EQP-00377,Crane,3065,12.18,0.996,749.87
EQP-00378,Welding Machine,2269,11.19,0.9951,1408.78
EQP-00379,Forklift,6858,42.61,0.9938,5423.32
EQP-00380,Excavator,14409,32.23,0.9978,3494.05
EQP-00381,Excavator,7373,49.58,0.9933,271.25
EQP-00382,Excavator,18025,39.06,0.9978,14392.04
EQP-00383,Concrete Pump,12605,28.7,0.9977,10879.71
EQP-00384,Crane,15228,29.12,0.9981,6252.51
EQP-00385,Generator,9889,41.98,0.9958,736.72
EQP-00386,Crane,19791,14.19,0.9993,393.54
EQP-00387,Manlift,15433,89.82,0.9942,8167.41
EQP-00388,Generator,2651,30.7,0.9886,2243.99
EQP-00389,Forklift,8693,16.6,0.9981,4791.56
EQP-00390,Excavator,4548,17.91,0.9961,1922.61
EQP-00391,Welding Machine,1282,19.6,0.9849,7523.9
EQP-00392,Welding Machine,4590,29.71,0.9936,3525.96
EQP-00393,Concrete Pump,6058,11.62,0.9981,1391.62
EQP-00394,Manlift,6910,37.7,0.9946,443.85
EQP-00395,Forklift,14020,27.97,0.998,2935.03
EQP-00396,Welding Machine,14783,10.21,0.9993,10244.92
EQP-00397,Manlift,7333,43.08,0.9942,2480.88
EQP-00398,Welding Machine,14604,18.28,0.9987,426.2
EQP-00399,Forklift,3209,64.08,0.9804,1725.66
EQP-00400,Generator,8762,8.57,0.999,1242.04
EQP-00401,Manlift,2771,46.44,0.9835,3969.2
EQP-00402,Excavator,1523,12.67,0.9917,11605.42
EQP-00403,Generator,8339,8.45,0.999,15210.56
EQP-00404,Forklift,4835,38.63,0.9921,1880.77
EQP-00405,Forklift,12764,27.23,0.9979,3275.8
EQP-00406,Manlift,569,49.05,0.9206,353.41
EQP-00407,Generator,12677,17.31,0.9986,3152.24
EQP-00408,Welding Machine,8726,73.83,0.9916,11596.55
EQP-00409,Welding Machine,5038,93.57,0.9818,10866.2
EQP-00410,Forklift,10875,16.16,0.9985,2920.63
EQP-00411,Welding Machine,2523,69.91,0.973,9591.02
EQP-00412,Manlift,1228,28.34,0.9774,5451.57
EQP-00413,Concrete Pump,3308,22.79,0.9932,497.44
EQP-00414,Compressor,6242,30.35,0.9952,2405.74
EQP-00415,Welding Machine,16659,21.89,0.9987,5673.47
EQP-00416,Concrete Pump,5861,27.59,0.9953,4751.28
EQP-00417,Manlift,9130,56.76,0.9938,52278.59
EQP-00418,Forklift,7906,30.75,0.9961,12452.39
EQP-00419,Crane,4519,39.46,0.9913,4181.17
EQP-00420,Welding Machine,10379,31.08,0.997,3505.71
EQP-00421,Forklift,15621,27.8,0.9982,9761.86
EQP-00422,Concrete Pump,5953,17.88,0.997,492.35
EQP-00423,Concrete Pump,18365,21.29,0.9988,1383.81
EQP-00424,Forklift,9103,21.28,0.9977,2515.75
EQP-00425,Manlift,8385,21.34,0.9975,2474.27
EQP-00426,Welding Machine,10543,21.4,0.998,4876.85
EQP-00427,Welding Machine,8249,139.92,0.9833,3806.1
EQP-00428,Manlift,6873,22.15,0.9968,183.01
EQP-00429,Compressor,18567,110.56,0.9941,4071.51
EQP-00430,Excavator,6277,29.28,0.9954,194.24
EQP-00431,Compressor,19429,30.5,0.9984,3470.02
EQP-00432,Manlift,13592,21.47,0.9984,598.21
EQP-00433,Crane,2750,8.7,0.9968,29957.51
EQP-00434,Crane,1845,35.92,0.9809,1579.52
EQP-00435,Welding Machine,1791,34.31,0.9812,2872.68
EQP-00436,Compressor,8855,8.24,0.9991,8933.37
EQP-00437,Generator,3440,28.67,0.9917,3407.11
EQP-00438,Excavator,8496,87.88,0.9898,617.6
EQP-00439,Concrete Pump,19062,17.07,0.9991,4344.14
EQP-00440,Forklift,4209,62.11,0.9855,1418.37
EQP-00441,Forklift,2319,20.76,0.9911,6339.5
EQP-00442,Compressor,5762,132.86,0.9775,3243.81
EQP-00443,Concrete Pump,6616,17.02,0.9974,838.33
EQP-00444,Generator,15050,29.74,0.998,8189.04
EQP-00445,Generator,6680,171.23,0.975,2052.5
EQP-00446,Compressor,9330,35.23,0.9962,23093.58
EQP-00447,Compressor,1744,41.6,0.9767,3838.36
EQP-00448,Compressor,12876,87.14,0.9933,3342.68
EQP-00449,Generator,13405,13.84,0.999,12777.75
EQP-00450,Manlift,19365,6.81,0.9996,10083.12
EQP-00451,Crane,2966,33.13,0.989,2077.84
EQP-00452,Concrete Pump,10821,25.61,0.9976,2495.67
EQP-00453,Manlift,2200,23.15,0.9896,5069.24
EQP-00454,Concrete Pump,7966,23.84,0.997,297.35
EQP-00455,Manlift,5074,33.32,0.9935,9441.6
EQP-00456,Manlift,7263,3.93,0.9995,2955.61
EQP-00457,Forklift,13676,22.77,0.9983,9128.59
EQP-00458,Compressor,2276,27.04,0.9883,7503.19
EQP-00459,Excavator,6516,52.9,0.9919,6691.23
EQP-00460,Generator,18779,27.82,0.9985,3193.56
EQP-00461,Forklift,851,45.23,0.9495,3312.82
EQP-00462,Concrete Pump,11556,27.09,0.9977,1011.48
EQP-00463,Forklift,8539,33.62,0.9961,494.3
EQP-00464,Generator,19709,3.55,0.9998,779.02
EQP-00465,Crane,3619,53.49,0.9854,3934.5
EQP-00466,Forklift,17846,53.87,0.997,1299.43
EQP-00467,Crane,16122,68.2,0.9958,557.6
EQP-00468,Generator,4654,12.44,0.9973,10187.52
EQP-00469,Manlift,12572,37.56,0.997,6729.32
EQP-00470,Compressor,6809,39.79,0.9942,1519.04
EQP-00471,Concrete Pump,2905,11.03,0.9962,332.26
EQP-00472,Forklift,11234,105.25,0.9907,423.56
EQP-00473,Crane,14702,85.18,0.9942,3366.86
EQP-00474,Generator,6575,40.71,0.9938,3787.88
EQP-00475,Welding Machine,10488,49.41,0.9953,1164.66
EQP-00476,Compressor,12454,2.9,0.9998,1483.39
EQP-00477,Generator,11545,46.45,0.996,819.85
EQP-00478,Manlift,11391,69.35,0.9939,2550.31
EQP-00479,Manlift,6142,11.45,0.9981,3557.41
EQP-00480,Manlift,14333,45.89,0.9968,5496.05
