activity_id,project_id,activity_sequence,activity_name,activity_type,planned_start_date,planned_finish_date,planned_duration_days,actual_finish_date,progress_pct,critical_path_flag,baseline_cost,actual_cost,delay_days,delay_flag
ACT-000015,PRJ-0001,15,Fire Fighting Installation,MEP,2019-04-16,2019-05-22,36,2019-05-25,100.0,1,1233331.0,1188487.8,3,0
ACT-000016,PRJ-0001,16,Fire Alarm Installation,MEP,2019-04-19,2019-07-09,81,2019-07-09,100.0,0,1239573.44,1138077.42,0,0
ACT-000017,PRJ-0001,17,Testing & Commissioning,Commissioning,2019-04-24,2019-06-17,54,2019-06-17,100.0,0,545406.79,581844.82,0,0
ACT-000018,PRJ-0001,18,Final Inspection,Commissioning,2019-05-13,2019-08-01,80,2019-08-06,100.0,1,1244111.7,1119532.71,5,0
ACT-000019,PRJ-0001,19,Handover,General,2019-05-13,2019-06-03,21,2019-06-03,100.0,0,521336.97,478980.26,0,0
ACT-000020,PRJ-0001,20,Mobilization,General,2019-06-18,2019-08-15,58,2019-08-15,100.0,1,1114888.89,1151850.53,0,0
ACT-000021,PRJ-0001,21,Site Preparation,Civil,2019-07-14,2019-10-17,95,2019-10-17,100.0,0,1098037.82,1026626.61,0,0
ACT-000022,PRJ-0001,22,Excavation,Civil,2019-07-23,2019-09-28,67,2019-09-28,100.0,0,519811.95,526342.81,0,0
ACT-000023,PRJ-0001,23,Foundation Works,Civil,2019-07-27,2019-09-29,64,2019-10-07,100.0,1,1201106.08,1247294.54,8,1
ACT-000024,PRJ-0001,24,Concrete Works,Structural,2019-08-13,2019-11-09,88,2019-11-09,100.0,0,630023.14,570299.78,0,0
ACT-000025,PRJ-0001,25,Structural Steel,Structural,2019-08-20,2019-11-16,88,2019-11-16,100.0,1,1202150.66,1123156.22,0,0
ACT-000026,PRJ-0001,26,Block Works,Architectural,2019-08-22,2019-10-18,57,2019-10-18,100.0,1,1711494.72,1690047.93,0,0
ACT-000027,PRJ-0001,27,Waterproofing,Architectural,2019-08-25,2019-11-30,97,2019-12-09,100.0,1,1689925.87,1547574.95,9,1
ACT-000028,PRJ-0001,28,Plastering,Architectural,2019-08-25,2019-09-16,22,2019-09-16,100.0,0,1632022.23,1669340.2,0,0
ACT-000029,PRJ-0001,29,Floor Finishing,Architectural,2019-09-17,2020-01-02,107,2020-01-02,100.0,1,1480030.3,1611017.56,0,0
ACT-000030,PRJ-0001,30,Painting,Architectural,2019-09-23,2020-01-07,106,2020-01-07,100.0,0,828003.55,737376.3,0,0
ACT-000031,PRJ-0001,31,HVAC Installation,MEP,2019-10-09,2019-10-24,15,2019-11-02,100.0,1,1555655.45,1445882.72,9,1
ACT-000032,PRJ-0001,32,Electrical Installation,MEP,2019-10-12,2019-11-18,37,2019-11-18,100.0,0,1735713.9,1713018.69,0,0
ACT-000033,PRJ-0001,33,Plumbing Installation,MEP,2019-10-13,2019-11-22,40,2019-12-13,100.0,1,786026.67,815976.27,21,1
ACT-000034,PRJ-0001,34,Fire Fighting Installation,MEP,2019-10-17,2020-02-05,111,2020-02-05,100.0,0,747791.49,802583.82,0,0
ACT-000035,PRJ-0001,35,Fire Alarm Installation,MEP,2019-10-18,2020-01-10,84,2020-01-29,100.0,0,659859.51,667636.71,19,1
ACT-000036,PRJ-0001,36,Testing & Commissioning,Commissioning,2019-10-22,2019-11-11,20,2019-11-11,100.0,0,1714980.2,1619497.98,0,0
ACT-000037,PRJ-0001,37,Final Inspection,Commissioning,2019-10-22,2019-12-22,61,2019-12-22,100.0,1,1202592.86,1098266.67,0,0
ACT-000038,PRJ-0001,38,Handover,General,2019-10-31,2020-01-27,88,2020-01-27,100.0,0,1728555.12,1610564.87,0,0
ACT-000039,PRJ-0001,39,Mobilization,General,2019-11-02,2019-11-23,21,2019-11-23,100.0,0,1090222.23,1117748.6,0,0
ACT-000040,PRJ-0001,40,Site Preparation,Civil,2019-11-04,2020-01-24,81,2020-01-24,100.0,0,1511770.54,1492097.46,0,0
ACT-000041,PRJ-0001,41,Excavation,Civil,2019-11-09,2019-11-26,17,2019-11-26,100.0,0,1602522.73,1534647.63,0,0
ACT-000042,PRJ-0001,42,Foundation Works,Civil,2019-11-25,2019-12-13,18,2019-12-13,100.0,0,1326373.16,1170705.2,0,0
ACT-000043,PRJ-0001,43,Concrete Works,Structural,2019-11-27,2020-01-14,48,2020-01-14,100.0,1,794992.03,911818.56,0,0
ACT-000044,PRJ-0001,44,Structural Steel,Structural,2019-12-06,2020-03-30,115,2020-05-09,100.0,1,1252799.07,1328440.29,40,1
ACT-000045,PRJ-0001,45,Block Works,Architectural,2019-12-16,2020-01-02,17,2020-01-02,100.0,0,703972.68,696436.06,0,0
ACT-000046,PRJ-0001,46,Waterproofing,Architectural,2019-12-29,2020-02-24,57,2020-03-03,100.0,1,563041.37,617666.1,8,1
ACT-000047,PRJ-0001,47,Plastering,Architectural,2019-12-30,2020-01-17,18,2020-01-17,100.0,0,899060.93,899067.0,0,0
ACT-000048,PRJ-0001,48,Floor Finishing,Architectural,2020-01-05,2020-04-10,96,2020-05-28,100.0,1,724403.79,816307.25,48,1
ACT-000049,PRJ-0001,49,Painting,Architectural,2020-01-12,2020-04-23,102,2020-04-23,100.0,1,970236.63,883892.44,0,0
ACT-000050,PRJ-0001,50,HVAC Installation,MEP,2020-02-28,2020-03-14,15,2020-04-08,100.0,1,1675592.08,1610521.38,25,1
ACT-000051,PRJ-0001,51,Electrical Installation,MEP,2020-03-01,2020-06-09,100,2020-06-09,100.0,0,1489582.72,1454765.67,0,0
ACT-000052,PRJ-0001,52,Plumbing Installation,MEP,2020-03-10,2020-06-07,89,2020-06-07,100.0,0,1150160.7,913995.13,0,0
ACT-000053,PRJ-0001,53,Fire Fighting Installation,MEP,2020-03-17,2020-04-06,20,2020-04-06,100.0,0,1310547.29,1271554.36,0,0
ACT-000054,PRJ-0001,54,Fire Alarm Installation,MEP,2020-03-28,2020-05-21,54,2020-05-21,100.0,0,789755.33,844332.35,0,0
ACT-000055,PRJ-0001,55,Testing & Commissioning,Commissioning,2020-04-03,2020-06-01,59,2020-06-01,100.0,1,977722.26,951561.84,0,0
ACT-000056,PRJ-0001,56,Final Inspection,Commissioning,2020-04-07,2020-07-12,96,2020-07-12,100.0,0,1107533.83,1146438.1,0,0
ACT-000057,PRJ-0001,57,Handover,General,2020-04-10,2020-08-02,114,2020-08-02,100.0,0,1327212.99,1295723.96,0,0
ACT-000058,PRJ-0001,58,Mobilization,General,2020-04-17,2020-07-19,93,2020-08-11,100.0,1,1432532.18,1506496.4,23,1
ACT-000059,PRJ-0001,59,Site Preparation,Civil,2020-04-19,2020-07-05,77,2020-07-05,100.0,0,613842.24,649728.67,0,0
ACT-000060,PRJ-0001,60,Excavation,Civil,2020-04-20,2020-06-24,65,2020-06-24,100.0,1,1719147.87,1926989.88,0,0
ACT-000061,PRJ-0001,61,Foundation Works,Civil,2020-05-02,2020-08-22,112,2020-08-22,100.0,0,1509592.33,1513551.34,0,0
ACT-000062,PRJ-0001,62,Concrete Works,Structural,2020-05-15,2020-08-11,88,2020-09-09,100.0,1,1280607.56,1120143.39,29,1
ACT-000063,PRJ-0001,63,Structural Steel,Structural,2020-05-21,2020-08-01,72,2020-08-01,100.0,0,1469679.5,1659704.32,0,0
ACT-000064,PRJ-0001,64,Block Works,Architectural,2020-05-22,2020-06-23,32,2020-07-28,100.0,0,645369.02,734253.58,35,1
ACT-000065,PRJ-0001,65,Waterproofing,Architectural,2020-05-31,2020-08-12,73,2020-08-12,100.0,0,1351070.1,1376240.86,0,0
ACT-000066,PRJ-0001,66,Plastering,Architectural,2020-06-02,2020-09-08,98,2020-09-08,100.0,1,958180.0,946488.48,0,0
ACT-000067,PRJ-0001,67,Floor Finishing,Architectural,2020-06-03,2020-09-03,92,2020-09-03,100.0,1,1690033.22,1673131.67,0,0
ACT-000068,PRJ-0001,68,Painting,Architectural,2020-06-07,2020-06-26,19,2020-06-26,100.0,0,1690049.25,1804213.45,0,0
ACT-000069,PRJ-0001,69,HVAC Installation,MEP,2020-06-12,2020-09-08,88,2020-09-08,100.0,0,1754658.65,1872827.2,0,0
ACT-000070,PRJ-0001,70,Electrical Installation,MEP,2020-06-15,2020-08-07,53,2020-09-13,100.0,0,1307361.85,1415389.73,37,1
ACT-000071,PRJ-0001,71,Plumbing Installation,MEP,2020-06-17,2020-07-05,18,2020-07-05,100.0,0,1548344.84,1349998.41,0,0
ACT-000072,PRJ-0001,72,Fire Fighting Installation,MEP,2020-06-21,2020-08-01,41,2020-08-01,100.0,1,1667402.63,1478950.67,0,0
ACT-000073,PRJ-0001,73,Fire Alarm Installation,MEP,2020-06-28,2020-08-22,55,2020-08-22,100.0,0,1617188.41,1676621.48,0,0
ACT-000074,PRJ-0001,74,Testing & Commissioning,Commissioning,2020-07-17,2020-07-26,9,2020-07-26,100.0,0,1343972.52,1425700.36,0,0
ACT-000075,PRJ-0001,75,Final Inspection,Commissioning,2020-07-21,2020-08-07,17,2020-08-07,100.0,0,529264.95,521659.99,0,0
ACT-000076,PRJ-0001,76,Handover,General,2020-07-24,2020-11-04,103,2020-11-04,100.0,1,1657416.99,1622168.53,0,0
ACT-000077,PRJ-0001,77,Mobilization,General,2020-07-29,2020-10-31,94,2020-10-31,100.0,1,558258.84,500357.47,0,0
ACT-000078,PRJ-0001,78,Site Preparation,Civil,2020-08-12,2020-12-05,115,2020-12-05,100.0,0,565391.41,552505.73,0,0
ACT-000079,PRJ-0001,79,Excavation,Civil,2020-08-12,2020-09-13,32,2020-09-13,100.0,0,1385477.95,1377814.82,0,0
ACT-000080,PRJ-0001,80,Foundation Works,Civil,2020-09-02,2020-09-20,18,2020-09-20,100.0,0,1445705.71,1348855.2,0,0
ACT-000081,PRJ-0001,81,Concrete Works,Structural,2020-09-06,2020-09-25,19,2020-10-04,100.0,1,1432184.04,1655120.08,9,1
ACT-000082,PRJ-0001,82,Structural Steel,Structural,2020-09-15,2020-12-15,91,2020-12-27,100.0,1,1280790.89,1406646.22,12,1
ACT-000083,PRJ-0001,83,Block Works,Architectural,2020-09-27,2020-12-11,75,2020-12-11,100.0,1,727007.56,688954.05,0,0
ACT-000084,PRJ-0001,84,Waterproofing,Architectural,2020-09-30,2020-12-06,67,2020-12-06,100.0,0,1224621.45,1354006.3,0,0
ACT-000085,PRJ-0001,85,Plastering,Architectural,2020-10-10,2020-12-23,74,2020-12-23,100.0,1,1231792.46,1199126.49,0,0
ACT-000086,PRJ-0001,86,Floor Finishing,Architectural,2020-10-30,2020-12-23,54,2020-12-23,100.0,1,1142649.23,1320995.07,0,0
ACT-000087,PRJ-0001,87,Painting,Architectural,2020-11-01,2020-12-23,52,2020-12-23,100.0,1,663745.5,720893.46,0,0
ACT-000088,PRJ-0001,88,HVAC Installation,MEP,2020-11-05,2020-12-23,48,2020-12-23,100.0,0,1304233.5,1217280.9,0,0
ACT-000089,PRJ-0002,1,Mobilization,General,2025-10-23,2026-01-17,86,2026-01-17,100.0,0,961732.27,997514.88,0,0
ACT-000090,PRJ-0002,2,Site Preparation,Civil,2025-10-29,2025-11-15,17,2025-12-08,100.0,0,852635.1,937443.37,23,1
ACT-000091,PRJ-0002,3,Excavation,Civil,2025-10-31,2026-01-03,64,2026-01-03,100.0,1,1015109.59,936324.94,0,0
ACT-000092,PRJ-0002,4,Foundation Works,Civil,2025-11-04,2025-11-26,22,2025-11-26,100.0,0,437507.99,422018.96,0,0
ACT-000093,PRJ-0002,5,Concrete Works,Structural,2025-11-04,2026-01-19,76,2026-01-19,100.0,1,947785.26,1066426.59,0,0
ACT-000094,PRJ-0002,6,Structural Steel,Structural,2025-11-07,2026-01-29,83,2026-01-31,100.0,1,1073974.3,1031980.07,2,0
ACT-000095,PRJ-0002,7,Block Works,Architectural,2025-11-09,2025-11-26,17,2025-11-26,100.0,0,729917.1,631438.54,0,0
ACT-000096,PRJ-0002,8,Waterproofing,Architectural,2025-11-11,2026-01-26,76,2026-01-26,100.0,0,859503.06,848557.47,0,0
ACT-000097,PRJ-0002,9,Plastering,Architectural,2025-11-16,2026-01-31,76,2026-01-31,100.0,1,624590.19,657701.76,0,0
ACT-000098,PRJ-0002,10,Floor Finishing,Architectural,2025-11-22,2026-02-14,84,2026-02-14,100.0,0,958841.14,952160.38,0,0
ACT-000099,PRJ-0002,11,Painting,Architectural,2025-11-23,2026-02-07,76,2026-02-07,100.0,0,807933.51,727497.47,0,0
ACT-000100,PRJ-0002,12,HVAC Installation,MEP,2025-11-26,2026-01-19,54,2026-01-19,100.0,0,407064.19,417950.56,0,0
ACT-000101,PRJ-0002,13,Electrical Installation,MEP,2025-12-02,2026-01-18,47,2026-01-18,100.0,0,467365.23,495011.29,0,0
ACT-000102,PRJ-0002,14,Plumbing Installation,MEP,2025-12-03,2025-12-30,27,2025-12-30,100.0,0,692434.03,612215.42,0,0
ACT-000103,PRJ-0002,15,Fire Fighting Installation,MEP,2025-12-09,2025-12-16,7,2025-12-16,100.0,1,550936.88,559304.22,0,0
ACT-000104,PRJ-0002,16,Fire Alarm Installation,MEP,2025-12-16,2026-02-19,65,2026-02-19,100.0,0,716793.72,737635.46,0,0
ACT-000105,PRJ-0002,17,Testing & Commissioning,Commissioning,2025-12-23,2026-03-21,88,2026-03-21,100.0,0,1120623.86,1024507.23,0,0
ACT-000106,PRJ-0002,18,Final Inspection,Commissioning,2025-12-25,2026-01-05,11,2026-01-05,100.0,0,685683.95,698599.4,0,0
ACT-000107,PRJ-0002,19,Handover,General,2025-12-29,2026-01-12,14,2026-01-12,100.0,0,1138388.92,1304256.63,0,0
ACT-000108,PRJ-0002,20,Mobilization,General,2025-12-31,2026-03-28,87,2026-04-06,100.0,0,422769.96,457863.29,9,1
ACT-000109,PRJ-0002,21,Site Preparation,Civil,2025-12-31,2026-03-09,68,2026-03-09,100.0,0,1132850.67,1080509.44,0,0
ACT-000110,PRJ-0002,22,Excavation,Civil,2026-01-07,2026-03-08,60,2026-03-08,100.0,0,986637.68,1046856.24,0,0
ACT-000111,PRJ-0002,23,Foundation Works,Civil,2026-01-10,2026-01-22,12,2026-01-27,100.0,1,629656.89,564236.32,5,0
ACT-000112,PRJ-0002,24,Concrete Works,Structural,2026-01-16,2026-03-17,60,2026-03-17,100.0,0,934566.6,952633.23,0,0
ACT-000113,PRJ-0002,25,Structural Steel,Structural,2026-01-20,2026-03-31,70,2026-03-31,100.0,1,836845.52,838995.05,0,0
ACT-000114,PRJ-0002,26,Block Works,Architectural,2026-01-21,2026-04-16,85,2026-04-16,100.0,0,344397.28,333055.91,0,0
ACT-000115,PRJ-0002,27,Waterproofing,Architectural,2026-01-21,2026-03-10,48,2026-03-10,100.0,0,517377.24,584054.21,0,0
ACT-000116,PRJ-0002,28,Plastering,Architectural,2026-01-21,2026-04-02,71,2026-04-02,100.0,0,810591.01,792030.23,0,0
ACT-000117,PRJ-0002,29,Floor Finishing,Architectural,2026-01-26,2026-04-13,77,2026-04-13,100.0,0,475751.95,495714.78,0,0
ACT-000118,PRJ-0002,30,Painting,Architectural,2026-01-29,2026-03-13,43,2026-03-13,100.0,0,1150166.37,1119127.97,0,0
ACT-000119,PRJ-0002,31,HVAC Installation,MEP,2026-01-31,2026-04-06,65,2026-04-06,100.0,1,797746.81,716645.82,0,0
ACT-000120,PRJ-0002,32,Electrical Installation,MEP,2026-02-03,2026-04-11,67,2026-04-11,100.0,0,1080787.99,1065728.49,0,0
ACT-000121,PRJ-0002,33,Plumbing Installation,MEP,2026-02-05,2026-04-01,55,2026-04-01,100.0,0,375625.28,385223.27,0,0
ACT-000122,PRJ-0002,34,Fire Fighting Installation,MEP,2026-02-07,2026-03-09,30,2026-03-09,100.0,0,605204.63,523285.94,0,0
ACT-000123,PRJ-0002,35,Fire Alarm Installation,MEP,2026-02-10,2026-03-25,43,2026-03-25,100.0,0,769465.47,764443.15,0,0
ACT-000124,PRJ-0002,36,Testing & Commissioning,Commissioning,2026-02-20,2026-03-29,37,2026-03-29,100.0,0,1075604.9,854912.77,0,0
ACT-000125,PRJ-0002,37,Final Inspection,Commissioning,2026-02-21,2026-03-17,24,2026-03-17,100.0,0,863070.03,772148.69,0,0
ACT-000126,PRJ-0002,38,Handover,General,2026-02-24,2026-03-26,30,2026-03-26,100.0,1,1046712.32,1081897.65,0,0
ACT-000127,PRJ-0002,39,Mobilization,General,2026-02-26,2026-03-30,32,2026-03-30,100.0,0,971475.98,1020056.4,0,0
ACT-000128,PRJ-0002,40,Site Preparation,Civil,2026-03-09,2026-06-02,85,2026-06-02,100.0,0,997095.95,962364.51,0,0
ACT-000129,PRJ-0002,41,Excavation,Civil,2026-03-10,2026-06-07,89,2026-06-16,100.0,1,787186.65,821135.0,9,1
ACT-000130,PRJ-0002,42,Foundation Works,Civil,2026-03-13,2026-06-05,84,2026-06-11,100.0,1,1117766.48,1045009.86,6,0
ACT-000131,PRJ-0002,43,Concrete Works,Structural,2026-03-15,2026-04-25,41,2026-04-25,100.0,0,748871.91,734190.39,0,0
ACT-000132,PRJ-0002,44,Structural Steel,Structural,2026-03-18,2026-06-03,77,2026-06-03,100.0,0,370106.07,343145.33,0,0
ACT-000133,PRJ-0002,45,Block Works,Architectural,2026-03-18,2026-04-01,14,2026-04-01,100.0,0,647468.99,646762.12,0,0
ACT-000134,PRJ-0002,46,Waterproofing,Architectural,2026-03-19,2026-04-17,29,2026-04-17,100.0,0,320806.08,289600.86,0,0
ACT-000135,PRJ-0002,47,Plastering,Architectural,2026-03-21,2026-04-04,14,2026-04-04,100.0,0,678399.23,622918.1,0,0
ACT-000136,PRJ-0002,48,Floor Finishing,Architectural,2026-03-23,2026-05-12,50,2026-05-12,100.0,0,521388.47,482893.88,0,0
ACT-000137,PRJ-0002,49,Painting,Architectural,2026-03-23,2026-04-19,27,2026-04-19,100.0,1,594764.59,540514.4,0,0
ACT-000138,PRJ-0002,50,HVAC Installation,MEP,2026-03-25,2026-05-11,47,2026-05-22,100.0,0,444872.9,460287.54,11,1
ACT-000139,PRJ-0002,51,Electrical Installation,MEP,2026-03-26,2026-05-09,44,2026-05-11,100.0,1,345790.94,380030.47,2,0
ACT-000140,PRJ-0002,52,Plumbing Installation,MEP,2026-03-31,2026-04-24,24,2026-04-24,100.0,0,323723.02,370276.84,0,0
ACT-000141,PRJ-0002,53,Fire Fighting Installation,MEP,2026-04-01,2026-05-26,55,2026-05-26,100.0,1,962424.43,963306.11,0,0
ACT-000142,PRJ-0002,54,Fire Alarm Installation,MEP,2026-04-03,2026-04-29,26,2026-04-29,100.0,0,821486.25,896146.12,0,0
ACT-000143,PRJ-0002,55,Testing & Commissioning,Commissioning,2026-04-06,2026-06-28,83,2026-06-28,100.0,0,584507.55,605201.25,0,0
ACT-000144,PRJ-0002,56,Final Inspection,Commissioning,2026-04-06,2026-05-06,30,2026-05-06,100.0,0,583872.77,599791.08,0,0
ACT-000145,PRJ-0002,57,Handover,General,2026-04-08,2026-05-01,23,2026-05-01,100.0,0,335606.45,301244.62,0,0
ACT-000146,PRJ-0002,58,Mobilization,General,2026-04-12,2026-06-27,76,2026-06-27,100.0,0,583471.63,646515.75,0,0
ACT-000147,PRJ-0002,59,Site Preparation,Civil,2026-04-12,2026-06-16,65,2026-06-16,100.0,1,439272.93,453223.93,0,0
ACT-000148,PRJ-0002,60,Excavation,Civil,2026-04-13,2026-06-24,72,2026-08-04,100.0,0,323112.92,349904.03,41,1
ACT-000149,PRJ-0002,61,Foundation Works,Civil,2026-04-16,2026-06-03,48,2026-06-03,100.0,0,1051755.72,960679.8,0,0
ACT-000150,PRJ-0002,62,Concrete Works,Structural,2026-04-16,2026-05-06,20,2026-05-06,100.0,1,814122.4,839605.39,0,0
ACT-000151,PRJ-0002,63,Structural Steel,Structural,2026-04-21,2026-05-19,28,2026-05-19,100.0,0,334880.11,363257.15,0,0
ACT-000152,PRJ-0002,64,Block Works,Architectural,2026-04-24,2026-07-10,77,2026-07-10,100.0,0,827593.67,850409.1,0,0
ACT-000153,PRJ-0002,65,Waterproofing,Architectural,2026-04-30,2026-07-18,79,2026-07-18,100.0,0,923207.73,913441.77,0,0
ACT-000154,PRJ-0002,66,Plastering,Architectural,2026-05-02,2026-07-06,65,2026-07-14,100.0,0,747620.81,729441.2,8,1
ACT-000155,PRJ-0002,67,Floor Finishing,Architectural,2026-05-06,2026-08-02,88,2026-08-02,100.0,1,1059468.17,1080157.84,0,0
ACT-000156,PRJ-0002,68,Painting,Architectural,2026-05-16,2026-06-29,44,2026-06-29,100.0,0,468142.76,424621.23,0,0
ACT-000157,PRJ-0002,69,HVAC Installation,MEP,2026-05-18,2026-06-04,17,2026-06-04,100.0,0,929630.76,931930.09,0,0
ACT-000158,PRJ-0002,70,Electrical Installation,MEP,2026-05-19,2026-06-28,40,2026-06-28,100.0,0,927669.47,1043549.35,0,0
ACT-000159,PRJ-0002,71,Plumbing Installation,MEP,2026-05-25,2026-07-12,48,2026-07-12,100.0,1,1071371.65,994717.49,0,0
ACT-000160,PRJ-0002,72,Fire Fighting Installation,MEP,2026-05-26,2026-07-12,47,2026-08-25,100.0,1,938032.74,1152181.19,44,1
ACT-000161,PRJ-0002,73,Fire Alarm Installation,MEP,2026-05-27,2026-06-09,13,2026-06-09,100.0,0,647888.12,812651.44,0,0
ACT-000162,PRJ-0002,74,Testing & Commissioning,Commissioning,2026-05-29,2026-07-21,53,2026-07-21,100.0,0,820114.64,787982.54,0,0
ACT-000163,PRJ-0002,75,Final Inspection,Commissioning,2026-06-11,2026-08-04,54,2026-08-04,100.0,1,633401.36,634110.02,0,0
ACT-000164,PRJ-0002,76,Handover,General,2026-06-15,2026-07-18,33,2026-07-18,100.0,0,602032.97,554736.32,0,0
ACT-000165,PRJ-0002,77,Mobilization,General,2026-06-17,2026-07-05,18,2026-07-05,100.0,1,946267.39,893768.01,0,0
ACT-000166,PRJ-0002,78,Site Preparation,Civil,2026-06-21,2026-08-05,45,2026-08-05,100.0,1,753797.72,750988.33,0,0
ACT-000167,PRJ-0002,79,Excavation,Civil,2026-06-23,2026-07-15,22,2026-07-15,100.0,1,720107.36,723736.84,0,0
ACT-000168,PRJ-0002,80,Foundation Works,Civil,2026-06-26,2026-08-27,62,2026-08-27,100.0,1,529664.06,525281.83,0,0
ACT-000169,PRJ-0002,81,Concrete Works,Structural,2026-06-27,2026-08-13,47,2026-08-13,100.0,0,1069433.22,974373.02,0,0
ACT-000170,PRJ-0002,82,Structural Steel,Structural,2026-06-27,2026-08-01,35,2026-08-01,100.0,1,434346.6,419358.53,0,0
ACT-000171,PRJ-0002,83,Block Works,Architectural,2026-06-30,2026-09-13,75,2026-09-13,100.0,1,1023002.09,977357.46,0,0
ACT-000172,PRJ-0002,84,Waterproofing,Architectural,2026-07-02,2026-08-20,49,2026-08-20,100.0,0,453069.15,428566.54,0,0
ACT-000173,PRJ-0002,85,Plastering,Architectural,2026-07-05,2026-07-24,19,2026-07-24,100.0,0,565911.57,583554.05,0,0
ACT-000174,PRJ-0002,86,Floor Finishing,Architectural,2026-07-11,2026-07-25,14,2026-07-25,100.0,0,491731.91,572781.06,0,0
ACT-000175,PRJ-0002,87,Painting,Architectural,2026-07-15,2026-09-13,60,2026-09-13,100.0,0,403252.86,368532.94,0,0
ACT-000176,PRJ-0002,88,HVAC Installation,MEP,2026-07-21,2026-09-13,54,2026-09-13,100.0,0,693807.53,748613.06,0,0
ACT-000177,PRJ-0002,89,Electrical Installation,MEP,2026-07-21,2026-08-10,20,2026-08-10,100.0,0,1046929.14,1091269.81,0,0
ACT-000178,PRJ-0002,90,Plumbing Installation,MEP,2026-07-29,2026-09-13,46,2026-09-13,100.0,1,453852.39,458181.27,0,0
ACT-000179,PRJ-0002,91,Fire Fighting Installation,MEP,2026-08-02,2026-08-28,26,2026-08-28,100.0,0,750180.35,739994.71,0,0
ACT-000180,PRJ-0003,1,Mobilization,General,2019-08-18,2019-09-28,41,2019-09-28,100.0,0,1207622.98,1220281.49,0,0
ACT-000181,PRJ-0003,2,Site Preparation,Civil,2019-09-01,2019-10-10,39,2019-10-13,100.0,0,1049146.74,993148.15,3,0
ACT-000182,PRJ-0003,3,Excavation,Civil,2019-09-10,2019-10-06,26,2019-10-06,100.0,1,550327.34,560150.55,0,0
ACT-000183,PRJ-0003,4,Foundation Works,Civil,2019-09-14,2019-10-14,30,2019-10-14,100.0,0,721315.97,785061.79,0,0
ACT-000184,PRJ-0003,5,Concrete Works,Structural,2019-09-21,2019-10-12,21,2019-10-12,100.0,0,878773.18,771161.06,0,0
ACT-000185,PRJ-0003,6,Structural Steel,Structural,2019-09-29,2019-11-09,41,2019-11-09,100.0,0,1089201.37,1144269.78,0,0
ACT-000186,PRJ-0003,7,Block Works,Architectural,2019-10-13,2019-12-11,59,2019-12-11,100.0,0,1162508.94,1134365.09,0,0
ACT-000187,PRJ-0003,8,Waterproofing,Architectural,2019-10-16,2019-11-14,29,2019-11-14,100.0,0,704224.04,805315.12,0,0
ACT-000188,PRJ-0003,9,Plastering,Architectural,2019-10-19,2019-12-03,45,2019-12-03,100.0,0,970027.66,979431.34,0,0
ACT-000189,PRJ-0003,10,Floor Finishing,Architectural,2019-10-24,2019-12-08,45,2019-12-08,100.0,0,823956.93,775884.85,0,0
ACT-000190,PRJ-0003,11,Painting,Architectural,2019-10-26,2019-12-08,43,2019-12-08,100.0,0,523146.55,551190.52,0,0
ACT-000191,PRJ-0003,12,HVAC Installation,MEP,2019-10-29,2019-11-25,27,2019-11-29,100.0,0,1073638.5,1039218.1,4,0
