event_id,event_date,equipment_id,equipment_type,operating_hours,downtime_hours,utilization_rate,maintenance_flag,failure_flag,failure_severity,maintenance_cost,degradation_index,event_type
EQEV-00000055,2025-02-24,EQP-00522,Forklift,4.47,1.16,0.4397,0,0,None,3.3,0.4049,Normal Operation
EQEV-00000056,2025-02-25,EQP-00522,Forklift,4.66,2.69,0.4719,0,0,None,6.21,0.4145,Normal Operation
EQEV-00000057,2025-02-26,EQP-00522,Forklift,5.78,2.74,0.6043,0,0,None,4.77,0.4542,Normal Operation
EQEV-00000058,2025-02-27,EQP-00522,Forklift,7.13,2.9,0.6608,0,0,None,2.9,0.4712,Normal Operation
EQEV-00000059,2025-02-28,EQP-00522,Forklift,5.86,1.42,0.5685,1,0,None,14.66,0.4435,Maintenance
EQEV-00000060,2025-03-01,EQP-00522,Forklift,3.2,3.43,0.3513,0,0,None,5.55,0.3783,Normal Operation
EQEV-00000061,2025-03-02,EQP-00522,Forklift,4.67,1.68,0.5053,0,0,None,2.72,0.4245,Normal Operation
EQEV-00000062,2025-03-03,EQP-00522,Forklift,4.52,1.29,0.4816,0,0,None,2.3,0.4174,Normal Operation
EQEV-00000063,2025-03-04,EQP-00522,Forklift,4.69,1.63,0.5168,0,0,None,2.84,0.428,Normal Operation
EQEV-00000064,2025-03-05,EQP-00522,Forklift,5.1,2.67,0.5144,0,0,None,6.0,0.4273,Normal Operation
EQEV-00000065,2025-03-06,EQP-00522,Forklift,5.82,4.32,0.5726,0,0,None,4.18,0.4447,Downtime
EQEV-00000066,2025-03-07,EQP-00522,Forklift,6.25,8.13,0.6279,0,0,None,3.85,0.4613,Downtime
EQEV-00000067,2025-03-08,EQP-00522,Forklift,5.47,2.43,0.5326,0,0,None,3.39,0.4327,Normal Operation
EQEV-00000068,2025-03-09,EQP-00522,Forklift,4.71,7.5,0.4788,0,0,None,4.99,0.4166,Downtime
EQEV-00000069,2025-03-10,EQP-00522,Forklift,5.95,3.11,0.5773,0,0,None,4.67,0.4461,Normal Operation
EQEV-00000070,2025-03-11,EQP-00522,Forklift,8.1,5.52,0.8078,0,0,None,4.23,0.5153,Downtime
EQEV-00000071,2025-03-12,EQP-00522,Forklift,5.18,0.74,0.5376,0,0,None,5.57,0.4342,Normal Operation
EQEV-00000072,2025-03-13,EQP-00522,Forklift,6.02,2.73,0.6293,0,0,None,2.13,0.4617,Normal Operation
EQEV-00000073,2025-03-14,EQP-00522,Forklift,4.72,5.28,0.4407,0,0,None,3.59,0.4052,Downtime
EQEV-00000074,2025-03-15,EQP-00522,Forklift,5.2,2.68,0.473,0,0,None,3.68,0.4149,Normal Operation
EQEV-00000075,2025-03-16,EQP-00522,Forklift,4.66,3.54,0.5168,0,0,None,5.54,0.428,Normal Operation
EQEV-00000076,2025-03-17,EQP-00522,Forklift,7.38,0.7,0.7303,0,0,None,3.7,0.492,Normal Operation
EQEV-00000077,2025-03-18,EQP-00522,Forklift,7.53,2.32,0.7164,0,0,None,5.84,0.4879,Normal Operation
EQEV-00000078,2025-03-19,EQP-00522,Forklift,6.02,3.15,0.6362,0,0,None,2.42,0.4638,Normal Operation
EQEV-00000079,2025-03-20,EQP-00522,Forklift,4.97,2.29,0.4651,0,0,None,2.32,0.4125,Normal Operation
EQEV-00000080,2025-03-21,EQP-00522,Forklift,5.23,3.21,0.5193,0,0,None,5.61,0.4287,Normal Operation
EQEV-00000081,2025-03-22,EQP-00522,Forklift,5.45,0.83,0.5041,0,0,None,4.28,0.4242,Normal Operation
EQEV-00000082,2025-03-23,EQP-00522,Forklift,4.4,2.47,0.4496,0,0,None,2.87,0.4078,Normal Operation
EQEV-00000083,2025-03-24,EQP-00522,Forklift,6.37,2.94,0.5872,0,1,Minor,37.11,0.4491,Failure
EQEV-00000084,2025-03-25,EQP-00522,Forklift,4.95,4.89,0.4836,0,0,None,6.07,0.418,Downtime
EQEV-00000085,2025-03-26,EQP-00522,Forklift,6.19,3.34,0.5765,0,0,None,4.79,0.4459,Normal Operation
EQEV-00000086,2025-03-27,EQP-00522,Forklift,8.0,2.3,0.7289,0,0,None,2.59,0.4916,Normal Operation
EQEV-00000087,2025-03-28,EQP-00522,Forklift,5.25,1.09,0.4975,0,0,None,3.78,0.4222,Normal Operation
EQEV-00000088,2025-03-29,EQP-00522,Forklift,4.32,0.96,0.4707,0,0,None,2.23,0.4142,Normal Operation
EQEV-00000089,2025-03-30,EQP-00522,Forklift,3.6,0.58,0.3954,0,0,None,5.66,0.3916,Normal Operation
EQEV-00000090,2025-03-31,EQP-00522,Forklift,5.27,2.28,0.4974,0,0,None,2.09,0.4222,Normal Operation
EQEV-00000091,2025-04-01,EQP-00522,Forklift,6.44,2.76,0.6215,0,0,None,3.06,0.4594,Normal Operation
EQEV-00000092,2025-04-02,EQP-00522,Forklift,3.95,10.49,0.407,0,0,None,3.21,0.395,Downtime
EQEV-00000093,2025-04-03,EQP-00522,Forklift,5.48,3.01,0.5848,0,0,None,6.22,0.4484,Normal Operation
EQEV-00000094,2025-04-04,EQP-00522,Forklift,6.02,1.61,0.6138,0,0,None,4.54,0.4571,Normal Operation
EQEV-00000095,2025-04-05,EQP-00522,Forklift,5.64,7.12,0.5212,0,0,None,2.91,0.4293,Downtime
EQEV-00000096,2025-04-06,EQP-00522,Forklift,5.27,2.16,0.5317,0,0,None,5.19,0.4325,Normal Operation
EQEV-00000097,2025-04-07,EQP-00522,Forklift,5.05,1.7,0.5278,0,0,None,4.27,0.4313,Normal Operation
EQEV-00000098,2025-04-08,EQP-00522,Forklift,4.02,2.34,0.3948,0,0,None,2.72,0.3914,Normal Operation
EQEV-00000099,2025-04-09,EQP-00522,Forklift,8.0,2.58,0.7906,0,0,None,6.2,0.5101,Normal Operation
EQEV-00000100,2025-04-10,EQP-00522,Forklift,5.93,1.11,0.5583,0,0,None,2.5,0.4404,Normal Operation
EQEV-00000101,2025-04-11,EQP-00522,Forklift,6.15,2.43,0.5633,1,0,None,5.31,0.4419,Maintenance
EQEV-00000102,2025-04-12,EQP-00522,Forklift,3.22,0.68,0.3522,0,1,Minor,12.56,0.3786,Failure
EQEV-00000103,2025-04-13,EQP-00522,Forklift,4.18,2.96,0.4436,0,1,Minor,17.01,0.406,Failure
EQEV-00000104,2025-04-14,EQP-00522,Forklift,5.82,0.25,0.5831,0,0,None,3.15,0.4479,Normal Operation
EQEV-00000105,2025-04-15,EQP-00522,Forklift,6.55,0.29,0.6902,0,0,None,5.93,0.48,Normal Operation
EQEV-00000106,2025-04-16,EQP-00522,Forklift,5.05,2.71,0.5088,1,0,None,11.93,0.4256,Maintenance
EQEV-00000107,2025-04-17,EQP-00522,Forklift,6.0,0.23,0.6622,0,0,None,4.52,0.4716,Normal Operation
EQEV-00000108,2025-04-18,EQP-00522,Forklift,4.07,3.92,0.4512,0,0,None,5.62,0.4083,Normal Operation
EQEV-00000109,2025-04-19,EQP-00522,Forklift,5.54,0.6,0.5108,0,0,None,5.45,0.4262,Normal Operation
EQEV-00000110,2025-04-20,EQP-00522,Forklift,6.02,2.7,0.5681,0,0,None,2.4,0.4434,Normal Operation
EQEV-00000111,2025-04-21,EQP-00522,Forklift,6.08,1.99,0.6273,0,0,None,5.14,0.4611,Normal Operation
EQEV-00000112,2025-04-22,EQP-00522,Forklift,7.64,5.23,0.7087,0,0,None,2.79,0.4856,Downtime
EQEV-00000113,2025-04-23,EQP-00522,Forklift,6.64,1.75,0.6048,0,0,None,2.6,0.4544,Normal Operation
EQEV-00000114,2025-04-24,EQP-00522,Forklift,6.67,1.52,0.6199,0,1,Moderate,25.2,0.4589,Failure
EQEV-00000115,2025-04-25,EQP-00522,Forklift,4.13,4.11,0.4571,0,0,None,4.61,0.4101,Downtime
EQEV-00000116,2025-04-26,EQP-00522,Forklift,4.27,2.56,0.4363,0,0,None,6.15,0.4038,Normal Operation
EQEV-00000117,2025-04-27,EQP-00522,Forklift,4.9,1.52,0.4883,0,0,None,2.46,0.4194,Normal Operation
EQEV-00000118,2025-04-28,EQP-00522,Forklift,6.12,2.29,0.6249,0,0,None,2.9,0.4604,Normal Operation
EQEV-00000119,2025-04-29,EQP-00522,Forklift,5.04,1.89,0.507,0,0,None,5.32,0.425,Normal Operation
EQEV-00000120,2025-04-30,EQP-00522,Forklift,6.68,1.27,0.7249,0,0,None,2.92,0.4904,Normal Operation
EQEV-00000121,2025-05-01,EQP-00522,Forklift,6.76,7.37,0.747,0,0,None,3.71,0.497,Downtime
EQEV-00000122,2025-05-02,EQP-00522,Forklift,6.43,3.7,0.6292,0,0,None,4.01,0.4617,Normal Operation
EQEV-00000123,2025-05-03,EQP-00522,Forklift,5.58,2.36,0.5718,0,0,None,3.48,0.4445,Normal Operation
EQEV-00000124,2025-05-04,EQP-00522,Forklift,5.27,0.31,0.5553,0,0,None,2.91,0.4395,Normal Operation
EQEV-00000125,2025-05-05,EQP-00522,Forklift,4.95,1.01,0.4926,1,0,None,23.96,0.4207,Maintenance
EQEV-00000126,2025-05-06,EQP-00522,Forklift,4.14,1.82,0.4486,0,0,None,5.81,0.4075,Normal Operation
EQEV-00000127,2025-05-07,EQP-00522,Forklift,7.41,0.48,0.6758,0,0,None,4.37,0.4757,Normal Operation
EQEV-00000128,2025-05-08,EQP-00522,Forklift,4.28,0.75,0.3999,0,0,None,2.74,0.3929,Normal Operation
EQEV-00000129,2025-05-09,EQP-00522,Forklift,6.95,0.73,0.6839,0,0,None,5.23,0.4781,Normal Operation
EQEV-00000130,2025-05-10,EQP-00522,Forklift,4.71,0.97,0.5,0,0,None,3.17,0.423,Normal Operation
EQEV-00000131,2025-05-11,EQP-00522,Forklift,4.09,2.6,0.4368,0,0,None,5.61,0.404,Normal Operation
EQEV-00000132,2025-05-12,EQP-00522,Forklift,7.19,5.28,0.7149,0,0,None,5.76,0.4874,Downtime
EQEV-00000133,2025-05-13,EQP-00522,Forklift,5.56,7.27,0.5543,0,0,None,2.62,0.4392,Downtime
EQEV-00000134,2025-05-14,EQP-00522,Forklift,6.55,4.62,0.6005,0,0,None,2.94,0.4531,Downtime
EQEV-00000135,2025-05-15,EQP-00522,Forklift,5.37,3.74,0.593,0,0,None,4.0,0.4508,Normal Operation
EQEV-00000136,2025-05-16,EQP-00522,Forklift,6.27,2.47,0.6231,0,0,None,4.02,0.4599,Normal Operation
EQEV-00000137,2025-05-17,EQP-00522,Forklift,5.86,0.49,0.5407,0,0,None,4.66,0.4352,Normal Operation
EQEV-00000138,2025-05-18,EQP-00522,Forklift,5.4,6.2,0.5099,0,0,None,2.08,0.4259,Downtime
EQEV-00000139,2025-05-19,EQP-00522,Forklift,4.69,0.84,0.4908,0,0,None,4.7,0.4202,Normal Operation
EQEV-00000140,2025-05-20,EQP-00522,Forklift,6.7,0.61,0.6178,0,0,None,4.56,0.4583,Normal Operation
EQEV-00000141,2025-05-21,EQP-00522,Forklift,6.93,0.27,0.6355,0,0,None,2.24,0.4636,Normal Operation
EQEV-00000142,2025-05-22,EQP-00522,Forklift,5.26,1.37,0.4877,0,0,None,3.59,0.4193,Normal Operation
EQEV-00000143,2025-05-23,EQP-00522,Forklift,6.92,2.51,0.7052,0,0,None,3.81,0.4845,Normal Operation
EQEV-00000144,2025-05-24,EQP-00522,Forklift,4.9,1.22,0.506,0,0,None,4.84,0.4248,Normal Operation
EQEV-00000145,2025-05-25,EQP-00522,Forklift,5.0,2.56,0.4845,0,0,None,5.64,0.4183,Normal Operation
EQEV-00000146,2025-05-26,EQP-00522,Forklift,5.34,1.93,0.5164,0,0,None,4.87,0.4279,Normal Operation
EQEV-00000147,2025-05-27,EQP-00522,Forklift,5.88,3.1,0.6253,0,0,None,3.13,0.4605,Normal Operation
EQEV-00000148,2025-05-28,EQP-00522,Forklift,5.78,4.69,0.5996,0,1,Minor,41.48,0.4528,Failure
EQEV-00000149,2025-05-29,EQP-00522,Forklift,6.04,3.25,0.5554,0,0,None,4.7,0.4396,Normal Operation
EQEV-00000150,2025-05-30,EQP-00522,Forklift,5.11,1.07,0.539,0,0,None,5.16,0.4346,Normal Operation
EQEV-00000151,2025-05-31,EQP-00522,Forklift,5.22,9.94,0.4961,0,0,None,3.27,0.4218,Downtime
EQEV-00000152,2025-06-01,EQP-00522,Forklift,5.27,1.59,0.518,0,0,None,2.77,0.4284,Normal Operation
EQEV-00000153,2025-06-02,EQP-00522,Forklift,5.76,2.73,0.5952,0,0,None,2.55,0.4515,Normal Operation
EQEV-00000154,2025-06-03,EQP-00522,Forklift,6.4,0.68,0.5817,0,0,None,5.94,0.4475,Normal Operation
EQEV-00000155,2025-06-04,EQP-00522,Forklift,6.53,1.59,0.7148,0,0,None,4.83,0.4874,Normal Operation
EQEV-00000156,2025-06-05,EQP-00522,Forklift,5.21,3.19,0.4882,0,0,None,4.92,0.4194,Normal Operation
EQEV-00000157,2025-06-06,EQP-00522,Forklift,6.75,4.82,0.6144,0,0,None,3.39,0.4573,Downtime
EQEV-00000158,2025-06-07,EQP-00522,Forklift,5.78,3.06,0.5868,0,0,None,5.53,0.449,Normal Operation
EQEV-00000159,2025-06-08,EQP-00522,Forklift,4.48,3.67,0.456,0,0,None,5.78,0.4098,Normal Operation
EQEV-00000160,2025-06-09,EQP-00522,Forklift,6.54,4.52,0.6082,0,0,None,2.29,0.4554,Downtime
EQEV-00000161,2025-06-10,EQP-00522,Forklift,5.93,1.47,0.6002,0,0,None,2.77,0.453,Normal Operation
EQEV-00000162,2025-06-11,EQP-00522,Forklift,6.22,0.7,0.5805,0,0,None,3.71,0.4471,Normal Operation
EQEV-00000163,2025-06-12,EQP-00522,Forklift,6.69,1.9,0.7031,0,0,None,3.6,0.4839,Normal Operation
EQEV-00000164,2025-06-13,EQP-00522,Forklift,4.14,1.86,0.4399,0,0,None,2.8,0.4049,Normal Operation
EQEV-00000165,2025-06-14,EQP-00522,Forklift,5.68,4.01,0.5801,0,0,None,3.7,0.447,Downtime
EQEV-00000166,2025-06-15,EQP-00522,Forklift,5.59,0.03,0.5101,0,0,None,3.27,0.426,Normal Operation
EQEV-00000167,2025-06-16,EQP-00522,Forklift,4.86,0.73,0.4794,0,1,Minor,29.26,0.4168,Failure
EQEV-00000168,2025-06-17,EQP-00522,Forklift,5.81,1.7,0.5906,0,0,None,3.2,0.4501,Normal Operation
EQEV-00000169,2025-06-18,EQP-00522,Forklift,6.1,3.71,0.6334,1,1,Minor,95.78,0.463,Failure
EQEV-00000170,2025-06-19,EQP-00522,Forklift,5.85,4.14,0.5887,1,0,None,11.65,0.4496,Maintenance
EQEV-00000171,2025-06-20,EQP-00522,Forklift,4.96,0.56,0.5259,0,0,None,2.63,0.4307,Normal Operation
EQEV-00000172,2025-06-21,EQP-00522,Forklift,4.49,0.87,0.4658,0,0,None,4.61,0.4127,Normal Operation
EQEV-00000173,2025-06-22,EQP-00522,Forklift,5.14,0.87,0.4767,0,0,None,4.64,0.416,Normal Operation
EQEV-00000174,2025-06-23,EQP-00522,Forklift,5.4,1.76,0.5044,0,0,None,2.26,0.4243,Normal Operation
EQEV-00000175,2025-06-24,EQP-00522,Forklift,6.19,1.02,0.6419,0,0,None,6.13,0.4655,Normal Operation
EQEV-00000176,2025-06-25,EQP-00522,Forklift,5.05,0.05,0.5053,0,0,None,2.61,0.4245,Normal Operation
EQEV-00000177,2025-06-26,EQP-00522,Forklift,6.06,5.95,0.6456,0,0,None,3.77,0.4666,Downtime
EQEV-00000178,2025-06-27,EQP-00522,Forklift,7.02,1.22,0.6836,0,0,None,3.94,0.478,Normal Operation
EQEV-00000179,2025-06-28,EQP-00522,Forklift,6.08,2.4,0.6131,0,0,None,3.64,0.4569,Normal Operation
EQEV-00000180,2025-06-29,EQP-00522,Forklift,5.86,4.12,0.6283,0,0,None,5.21,0.4614,Downtime
EQEV-00000181,2025-01-01,EQP-00738,Manlift,6.29,3.14,0.5908,0,0,None,39.74,0.4242,Normal Operation
EQEV-00000182,2025-01-02,EQP-00738,Manlift,6.18,0.95,0.57,1,0,None,60.76,0.418,Maintenance
EQEV-00000183,2025-01-03,EQP-00738,Manlift,7.44,0.1,0.6955,1,0,None,105.9,0.4556,Maintenance
EQEV-00000184,2025-01-04,EQP-00738,Manlift,6.55,2.1,0.6462,0,0,None,28.5,0.4408,Normal Operation
EQEV-00000185,2025-01-05,EQP-00738,Manlift,6.2,0.91,0.5675,0,0,None,24.04,0.4172,Normal Operation
EQEV-00000186,2025-01-06,EQP-00738,Manlift,4.21,3.37,0.3963,0,0,None,25.43,0.3659,Normal Operation
EQEV-00000187,2025-01-07,EQP-00738,Manlift,3.72,0.46,0.3778,0,0,None,22.1,0.3603,Normal Operation
EQEV-00000188,2025-01-08,EQP-00738,Manlift,6.76,2.5,0.7469,0,0,None,32.12,0.4711,Normal Operation
EQEV-00000189,2025-01-09,EQP-00738,Manlift,6.12,2.21,0.5982,0,0,None,17.59,0.4264,Normal Operation
EQEV-00000190,2025-01-10,EQP-00738,Manlift,6.39,0.54,0.6594,0,0,None,40.54,0.4448,Normal Operation
EQEV-00000191,2025-01-11,EQP-00738,Manlift,5.58,11.14,0.5419,0,0,None,14.73,0.4096,Downtime
EQEV-00000192,2025-01-12,EQP-00738,Manlift,5.21,9.03,0.4742,0,0,None,38.58,0.3892,Downtime
EQEV-00000193,2025-01-13,EQP-00738,Manlift,6.3,0.39,0.5798,1,0,None,64.99,0.4209,Maintenance
EQEV-00000194,2025-01-14,EQP-00738,Manlift,5.67,1.41,0.5594,1,0,None,57.24,0.4148,Maintenance
EQEV-00000195,2025-01-15,EQP-00738,Manlift,6.89,5.04,0.6302,0,0,None,40.58,0.436,Downtime
EQEV-00000196,2025-01-16,EQP-00738,Manlift,6.88,1.76,0.6324,0,0,None,38.46,0.4367,Normal Operation
EQEV-00000197,2025-01-17,EQP-00738,Manlift,7.47,1.54,0.7179,0,0,None,15.88,0.4624,Normal Operation
EQEV-00000198,2025-01-18,EQP-00738,Manlift,5.27,0.9,0.5329,1,0,None,95.62,0.4069,Maintenance
EQEV-00000199,2025-01-19,EQP-00738,Manlift,5.53,2.94,0.551,0,1,Minor,67.62,0.4123,Failure
EQEV-00000200,2025-01-20,EQP-00738,Manlift,7.1,3.12,0.6556,0,0,None,30.73,0.4437,Normal Operation
EQEV-00000201,2025-01-21,EQP-00738,Manlift,5.17,5.17,0.4746,0,0,None,39.75,0.3894,Downtime
EQEV-00000202,2025-01-22,EQP-00738,Manlift,6.35,1.47,0.6022,0,0,None,32.25,0.4276,Normal Operation
EQEV-00000203,2025-01-23,EQP-00738,Manlift,6.3,3.12,0.666,0,0,None,16.7,0.4468,Normal Operation
EQEV-00000204,2025-01-24,EQP-00738,Manlift,4.71,1.66,0.4692,0,0,None,26.89,0.3878,Normal Operation
EQEV-00000205,2025-01-25,EQP-00738,Manlift,4.25,0.33,0.4648,0,0,None,40.73,0.3864,Normal Operation
EQEV-00000206,2025-01-26,EQP-00738,Manlift,6.62,0.98,0.6131,0,0,None,35.24,0.4309,Normal Operation
EQEV-00000207,2025-01-27,EQP-00738,Manlift,7.37,8.98,0.7174,0,0,None,32.22,0.4622,Downtime
EQEV-00000208,2025-01-28,EQP-00738,Manlift,5.28,2.68,0.542,0,0,None,26.39,0.4096,Normal Operation
EQEV-00000209,2025-01-29,EQP-00738,Manlift,5.1,1.99,0.4858,0,0,None,38.35,0.3927,Normal Operation
EQEV-00000210,2025-01-30,EQP-00738,Manlift,5.41,0.3,0.587,0,0,None,28.3,0.4231,Normal Operation
EQEV-00000211,2025-01-31,EQP-00738,Manlift,6.41,3.43,0.6092,0,0,None,17.8,0.4298,Normal Operation
EQEV-00000212,2025-02-01,EQP-00738,Manlift,5.02,1.76,0.5222,0,0,None,26.98,0.4036,Normal Operation
EQEV-00000213,2025-02-02,EQP-00738,Manlift,5.58,3.26,0.532,0,0,None,23.67,0.4066,Normal Operation
EQEV-00000214,2025-02-03,EQP-00738,Manlift,6.22,2.76,0.6264,0,0,None,21.25,0.4349,Normal Operation
EQEV-00000215,2025-02-04,EQP-00738,Manlift,5.98,3.74,0.6054,0,0,None,39.32,0.4286,Normal Operation
EQEV-00000216,2025-02-05,EQP-00738,Manlift,7.25,1.5,0.705,0,0,None,14.18,0.4585,Normal Operation
EQEV-00000217,2025-02-06,EQP-00738,Manlift,4.29,2.89,0.4292,0,0,None,16.74,0.3758,Normal Operation
EQEV-00000218,2025-02-07,EQP-00738,Manlift,5.54,5.69,0.5232,0,0,None,21.12,0.4039,Downtime
EQEV-00000219,2025-02-08,EQP-00738,Manlift,6.56,0.16,0.6027,0,0,None,19.11,0.4278,Normal Operation
EQEV-00000220,2025-02-09,EQP-00738,Manlift,5.02,1.26,0.4607,0,0,None,18.57,0.3852,Normal Operation
EQEV-00000221,2025-02-10,EQP-00738,Manlift,6.33,1.22,0.6647,0,0,None,20.22,0.4464,Normal Operation
EQEV-00000222,2025-02-11,EQP-00738,Manlift,6.0,2.08,0.5492,0,0,None,35.08,0.4117,Normal Operation
