delivery_id,po_id,project_id,supplier_id,material_id,planned_delivery_date,expected_delivery_date,actual_delivery_date,ordered_quantity,delivered_quantity,accepted_quantity,rejected_quantity,delay_days,late_delivery_flag,quality_issue_flag,delivery_status
DEL-0000040,PO-0000040,PRJ-0001,SUP-0042,MAT-0248,2020-08-02,2020-07-15,2020-07-17,18.0,17.92,17.92,0.0,2,0,0,On Time
DEL-0000041,PO-0000041,PRJ-0001,SUP-0181,MAT-0170,2019-06-01,2019-05-12,2019-05-12,372.0,370.23,370.23,0.0,0,0,0,On Time
DEL-0000042,PO-0000042,PRJ-0001,SUP-0237,MAT-0125,2020-12-23,2020-12-23,2021-01-04,574.0,578.83,578.83,0.0,12,1,0,Late
DEL-0000043,PO-0000043,PRJ-0001,SUP-0142,MAT-0208,2019-01-19,2019-01-09,2019-01-09,54.0,53.19,53.19,0.0,0,0,0,On Time
DEL-0000044,PO-0000044,PRJ-0001,SUP-0297,MAT-0106,2020-02-26,2020-02-11,2020-02-19,287.0,279.93,279.93,0.0,8,1,0,Late
DEL-0000045,PO-0000045,PRJ-0001,SUP-0335,MAT-0008,2019-11-03,2019-10-26,2019-12-08,228.0,226.93,226.93,0.0,43,1,0,Late
DEL-0000046,PO-0000046,PRJ-0001,SUP-0082,MAT-0123,2019-10-17,2019-10-12,2019-10-12,100.0,101.34,85.25,16.09,0,0,1,On Time - Quality Issue
DEL-0000047,PO-0000047,PRJ-0001,SUP-0340,MAT-0143,2020-03-20,2020-03-04,2020-03-04,572.0,599.1,599.1,0.0,0,0,0,On Time
DEL-0000048,PO-0000048,PRJ-0001,SUP-0161,MAT-0171,2019-04-27,2019-04-15,2019-04-17,686.0,691.88,691.88,0.0,2,0,0,On Time
DEL-0000049,PO-0000049,PRJ-0001,SUP-0298,MAT-0249,2020-12-19,2020-12-04,2020-12-04,395.0,408.11,408.11,0.0,0,0,0,On Time
DEL-0000050,PO-0000050,PRJ-0001,SUP-0350,MAT-0175,2019-04-01,2019-03-17,2019-03-18,441.0,443.42,443.42,0.0,1,0,0,On Time
DEL-0000051,PO-0000051,PRJ-0001,SUP-0224,MAT-0128,2020-08-13,2020-08-08,2020-09-18,765.0,760.88,760.88,0.0,41,1,0,Late
DEL-0000052,PO-0000052,PRJ-0001,SUP-0307,MAT-0230,2020-10-22,2020-10-08,2020-10-09,715.0,745.15,745.15,0.0,1,0,0,On Time
DEL-0000053,PO-0000053,PRJ-0001,SUP-0030,MAT-0069,2020-12-23,2020-12-23,2020-12-25,136.0,134.39,134.39,0.0,2,0,0,On Time
DEL-0000054,PO-0000054,PRJ-0001,SUP-0345,MAT-0070,2019-03-19,2019-03-04,2019-04-03,884.0,886.4,886.4,0.0,30,1,0,Late
DEL-0000055,PO-0000055,PRJ-0001,SUP-0156,MAT-0170,2019-08-21,2019-08-01,2019-08-14,744.0,716.8,716.8,0.0,13,1,0,Late
DEL-0000056,PO-0000056,PRJ-0001,SUP-0100,MAT-0172,2020-10-12,2020-10-01,2020-10-01,693.0,665.42,665.42,0.0,0,0,0,On Time
DEL-0000057,PO-0000057,PRJ-0001,SUP-0124,MAT-0025,2020-06-15,2020-06-10,2020-06-27,504.0,499.05,499.05,0.0,17,1,0,Late
DEL-0000058,PO-0000058,PRJ-0001,SUP-0252,MAT-0087,2020-02-06,2020-01-19,2020-01-20,378.0,393.17,393.17,0.0,1,0,0,On Time
DEL-0000059,PO-0000059,PRJ-0001,SUP-0239,MAT-0127,2019-06-09,2019-06-02,2019-06-02,345.0,347.51,347.51,0.0,0,0,0,On Time
DEL-0000060,PO-0000060,PRJ-0001,SUP-0076,MAT-0038,2020-01-28,2020-01-26,2020-02-08,612.0,658.22,658.22,0.0,13,1,0,Late
DEL-0000061,PO-0000061,PRJ-0001,SUP-0244,MAT-0189,2020-04-21,2020-04-13,2020-04-13,340.0,337.07,337.07,0.0,0,0,0,On Time
DEL-0000062,PO-0000062,PRJ-0001,SUP-0164,MAT-0007,2019-07-22,2019-07-04,2019-07-06,37.0,38.34,38.34,0.0,2,0,0,On Time
DEL-0000063,PO-0000063,PRJ-0001,SUP-0271,MAT-0112,2020-03-20,2020-03-04,2020-03-04,64.0,59.88,59.88,0.0,0,0,0,On Time
DEL-0000064,PO-0000064,PRJ-0001,SUP-0328,MAT-0010,2020-10-12,2020-10-02,2020-10-04,249.0,265.52,265.52,0.0,2,0,0,On Time
DEL-0000065,PO-0000065,PRJ-0001,SUP-0111,MAT-0218,2019-03-29,2019-03-12,2019-03-14,136.0,140.59,140.59,0.0,2,0,0,On Time
DEL-0000066,PO-0000066,PRJ-0001,SUP-0057,MAT-0024,2020-04-21,2020-04-13,2020-04-13,27.0,28.72,28.72,0.0,0,0,0,On Time
DEL-0000067,PO-0000067,PRJ-0001,SUP-0181,MAT-0009,2019-04-20,2019-04-08,2019-04-08,658.0,694.26,694.26,0.0,0,0,0,On Time
DEL-0000068,PO-0000068,PRJ-0001,SUP-0110,MAT-0003,2020-07-15,2020-07-02,2020-07-11,280.0,294.52,294.52,0.0,9,1,0,Late
DEL-0000069,PO-0000069,PRJ-0001,SUP-0125,MAT-0071,2020-06-16,2020-06-12,2020-07-13,1001.0,989.7,989.7,0.0,31,1,0,Late
DEL-0000070,PO-0000070,PRJ-0001,SUP-0206,MAT-0090,2019-06-16,2019-06-07,2019-06-21,415.0,417.89,335.24,82.65,14,1,1,Late - Quality Issue
DEL-0000071,PO-0000071,PRJ-0001,SUP-0316,MAT-0069,2020-12-23,2020-12-23,2020-12-25,374.0,377.95,377.95,0.0,2,0,0,On Time
DEL-0000072,PO-0000072,PRJ-0001,SUP-0227,MAT-0014,2020-12-23,2021-03-04,2021-03-04,560.0,547.88,495.63,52.25,0,0,1,On Time - Quality Issue
DEL-0000073,PO-0000073,PRJ-0001,SUP-0301,MAT-0104,2020-02-16,2020-01-30,2020-01-30,360.0,376.99,376.99,0.0,0,0,0,On Time
DEL-0000074,PO-0000074,PRJ-0001,SUP-0234,MAT-0090,2020-10-31,2020-10-23,2020-10-29,913.0,920.2,920.2,0.0,6,1,0,Late
DEL-0000075,PO-0000075,PRJ-0001,SUP-0224,MAT-0236,2020-03-13,2020-03-03,2020-03-29,520.0,502.68,502.68,0.0,26,1,0,Late
DEL-0000076,PO-0000076,PRJ-0001,SUP-0111,MAT-0228,2020-11-05,2020-10-27,2020-10-27,990.0,991.56,991.56,0.0,0,0,0,On Time
DEL-0000077,PO-0000077,PRJ-0001,SUP-0076,MAT-0017,2020-10-08,2020-09-18,2020-09-20,182.0,182.83,182.83,0.0,2,0,0,On Time
DEL-0000078,PO-0000078,PRJ-0001,SUP-0177,MAT-0128,2019-05-16,2019-05-11,2019-05-11,1020.0,1012.75,1012.75,0.0,0,0,0,On Time
DEL-0000079,PO-0000079,PRJ-0001,SUP-0341,MAT-0147,2020-09-06,2020-08-24,2020-08-24,67.0,63.47,63.47,0.0,0,0,0,On Time
DEL-0000080,PO-0000080,PRJ-0001,SUP-0321,MAT-0068,2019-02-20,2019-02-07,2019-02-07,108.0,103.03,103.03,0.0,0,0,0,On Time
DEL-0000081,PO-0000081,PRJ-0001,SUP-0251,MAT-0041,2019-12-23,2019-12-11,2019-12-11,408.0,395.11,395.11,0.0,0,0,0,On Time
DEL-0000082,PO-0000082,PRJ-0001,SUP-0037,MAT-0127,2020-05-11,2020-05-01,2020-05-01,552.0,561.65,561.65,0.0,0,0,0,On Time
DEL-0000083,PO-0000083,PRJ-0001,SUP-0238,MAT-0013,2020-02-18,2020-02-07,2020-02-07,16.0,16.84,16.84,0.0,0,0,0,On Time
DEL-0000084,PO-0000084,PRJ-0001,SUP-0194,MAT-0015,2019-03-07,2019-02-20,2019-02-20,79.0,78.3,78.3,0.0,0,0,0,On Time
DEL-0000085,PO-0000085,PRJ-0001,SUP-0162,MAT-0059,2020-04-05,2020-03-17,2020-03-17,138.0,133.12,133.12,0.0,0,0,0,On Time
DEL-0000086,PO-0000086,PRJ-0001,SUP-0328,MAT-0018,2019-07-01,2019-06-19,2019-06-20,462.0,462.98,462.98,0.0,1,0,0,On Time
DEL-0000087,PO-0000087,PRJ-0001,SUP-0227,MAT-0161,2019-04-25,2019-04-10,2019-06-04,270.0,257.27,257.27,0.0,55,1,0,Late
DEL-0000088,PO-0000088,PRJ-0001,SUP-0302,MAT-0094,2019-06-15,2019-05-25,2019-05-25,160.0,167.25,167.25,0.0,0,0,0,On Time
DEL-0000089,PO-0000089,PRJ-0001,SUP-0172,MAT-0176,2020-12-23,2021-01-02,2021-01-04,18.0,17.45,17.45,0.0,2,0,0,On Time
DEL-0000090,PO-0000090,PRJ-0001,SUP-0302,MAT-0242,2019-09-06,2019-08-24,2019-08-24,198.0,199.85,199.85,0.0,0,0,0,On Time
DEL-0000091,PO-0000091,PRJ-0001,SUP-0106,MAT-0068,2020-03-27,2020-03-13,2020-03-13,243.0,226.3,226.3,0.0,0,0,0,On Time
DEL-0000092,PO-0000092,PRJ-0001,SUP-0027,MAT-0132,2020-08-20,2020-08-06,2020-08-08,280.0,293.58,293.58,0.0,2,0,0,On Time
DEL-0000093,PO-0000093,PRJ-0001,SUP-0001,MAT-0169,2020-02-28,2020-02-08,2020-02-09,72.0,73.28,73.28,0.0,1,0,0,On Time
DEL-0000094,PO-0000094,PRJ-0001,SUP-0123,MAT-0077,2020-08-23,2020-08-20,2020-09-07,20.0,19.66,19.66,0.0,18,1,0,Late
DEL-0000095,PO-0000095,PRJ-0001,SUP-0297,MAT-0007,2019-04-19,2019-04-02,2019-04-03,444.0,447.12,447.12,0.0,1,0,0,On Time
DEL-0000096,PO-0000096,PRJ-0001,SUP-0318,MAT-0123,2020-06-22,2020-06-16,2020-06-18,20.0,19.91,19.91,0.0,2,0,0,On Time
DEL-0000097,PO-0000097,PRJ-0001,SUP-0079,MAT-0039,2019-06-20,2019-06-12,2019-07-07,180.0,179.32,179.32,0.0,25,1,0,Late
DEL-0000098,PO-0000098,PRJ-0001,SUP-0163,MAT-0038,2020-12-23,2021-01-16,2021-01-18,408.0,410.48,410.48,0.0,2,0,0,On Time
DEL-0000099,PO-0000099,PRJ-0001,SUP-0344,MAT-0101,2020-07-27,2020-07-09,2020-07-11,590.0,613.52,613.52,0.0,2,0,0,On Time
DEL-0000100,PO-0000100,PRJ-0001,SUP-0261,MAT-0205,2020-02-13,2020-01-27,2020-01-27,121.0,129.45,129.45,0.0,0,0,0,On Time
DEL-0000101,PO-0000101,PRJ-0001,SUP-0023,MAT-0056,2020-09-04,2020-08-20,2020-09-30,192.0,192.62,192.62,0.0,41,1,0,Late
DEL-0000102,PO-0000102,PRJ-0001,SUP-0013,MAT-0156,2019-03-14,2019-02-22,2019-02-22,395.0,380.17,380.17,0.0,0,0,0,On Time
DEL-0000103,PO-0000103,PRJ-0001,SUP-0261,MAT-0225,2020-12-23,2021-01-07,2021-01-07,174.0,176.74,176.74,0.0,0,0,0,On Time
DEL-0000104,PO-0000104,PRJ-0001,SUP-0251,MAT-0217,2020-06-02,2020-05-13,2020-05-23,1134.0,1157.88,1157.88,0.0,10,1,0,Late
DEL-0000105,PO-0000105,PRJ-0001,SUP-0253,MAT-0027,2019-12-13,2019-11-28,2019-11-28,90.0,90.37,90.37,0.0,0,0,0,On Time
DEL-0000106,PO-0000106,PRJ-0001,SUP-0343,MAT-0036,2020-04-26,2020-04-07,2020-04-09,253.0,247.65,247.65,0.0,2,0,0,On Time
DEL-0000107,PO-0000107,PRJ-0001,SUP-0029,MAT-0026,2019-11-13,2019-10-23,2019-10-23,912.0,934.45,934.45,0.0,0,0,0,On Time
DEL-0000108,PO-0000108,PRJ-0001,SUP-0297,MAT-0184,2020-02-11,2020-01-28,2020-01-30,360.0,358.73,286.45,72.28,2,0,1,On Time - Quality Issue
DEL-0000109,PO-0000109,PRJ-0001,SUP-0106,MAT-0234,2019-02-28,2019-02-13,2019-02-13,855.0,816.98,816.98,0.0,0,0,0,On Time
DEL-0000110,PO-0000110,PRJ-0001,SUP-0111,MAT-0197,2020-01-23,2020-01-04,2020-01-31,30.0,30.18,30.18,0.0,27,1,0,Late
DEL-0000111,PO-0000111,PRJ-0001,SUP-0289,MAT-0101,2020-06-27,2020-06-07,2020-06-07,590.0,576.38,576.38,0.0,0,0,0,On Time
DEL-0000112,PO-0000112,PRJ-0001,SUP-0188,MAT-0203,2020-10-24,2020-10-19,2020-10-19,940.0,978.17,978.17,0.0,0,0,0,On Time
DEL-0000113,PO-0000113,PRJ-0001,SUP-0257,MAT-0019,2020-01-12,2020-01-03,2020-01-03,143.0,136.65,136.65,0.0,0,0,0,On Time
DEL-0000114,PO-0000114,PRJ-0001,SUP-0313,MAT-0066,2020-12-23,2021-01-23,2021-01-23,384.0,393.26,393.26,0.0,0,0,0,On Time
DEL-0000115,PO-0000115,PRJ-0001,SUP-0182,MAT-0144,2020-12-23,2021-01-30,2021-01-30,40.0,38.75,28.25,10.5,0,0,1,On Time - Quality Issue
DEL-0000116,PO-0000116,PRJ-0001,SUP-0073,MAT-0011,2019-11-17,2019-11-02,2019-11-02,256.0,263.13,263.13,0.0,0,0,0,On Time
DEL-0000117,PO-0000117,PRJ-0001,SUP-0289,MAT-0053,2019-06-11,2019-06-01,2019-06-07,377.0,381.84,381.84,0.0,6,1,0,Late
DEL-0000118,PO-0000118,PRJ-0001,SUP-0027,MAT-0223,2020-05-26,2020-05-21,2020-05-21,1008.0,1047.94,1047.94,0.0,0,0,0,On Time
DEL-0000119,PO-0000119,PRJ-0001,SUP-0188,MAT-0069,2019-11-06,2019-10-22,2019-10-22,374.0,385.97,385.97,0.0,0,0,0,On Time
DEL-0000120,PO-0000120,PRJ-0001,SUP-0028,MAT-0201,2018-12-30,2018-12-15,2018-12-15,98.0,97.61,97.61,0.0,0,0,0,On Time
DEL-0000121,PO-0000121,PRJ-0001,SUP-0175,MAT-0236,2019-08-07,2019-08-02,2019-08-02,520.0,552.4,552.4,0.0,0,0,0,On Time
DEL-0000122,PO-0000122,PRJ-0001,SUP-0252,MAT-0096,2019-09-02,2019-08-23,2019-08-23,52.0,50.68,50.68,0.0,0,0,0,On Time
DEL-0000123,PO-0000123,PRJ-0001,SUP-0219,MAT-0042,2020-06-16,2020-05-31,2020-05-31,78.0,78.73,78.73,0.0,0,0,0,On Time
DEL-0000124,PO-0000124,PRJ-0001,SUP-0100,MAT-0191,2019-09-30,2019-09-18,2019-09-19,396.0,390.55,390.55,0.0,1,1,0,Late
DEL-0000125,PO-0000125,PRJ-0002,SUP-0163,MAT-0107,2026-04-23,2026-04-05,2026-04-05,1196.0,1161.48,1161.48,0.0,0,0,0,On Time
DEL-0000126,PO-0000126,PRJ-0002,SUP-0256,MAT-0106,2026-02-03,2026-01-19,2026-01-19,328.0,325.2,325.2,0.0,0,0,0,On Time
DEL-0000127,PO-0000127,PRJ-0002,SUP-0271,MAT-0055,2026-05-25,2026-05-08,2026-05-08,168.0,173.36,173.36,0.0,0,0,0,On Time
DEL-0000128,PO-0000128,PRJ-0002,SUP-0297,MAT-0144,2026-04-22,2026-04-14,2026-04-15,320.0,344.94,344.94,0.0,1,0,0,On Time
DEL-0000129,PO-0000129,PRJ-0002,SUP-0076,MAT-0248,2026-09-13,2026-09-21,2026-09-21,180.0,183.14,183.14,0.0,0,0,0,On Time
DEL-0000130,PO-0000130,PRJ-0002,SUP-0038,MAT-0008,2026-07-17,2026-07-03,2026-07-05,19.0,18.56,18.56,0.0,2,0,0,On Time
DEL-0000131,PO-0000131,PRJ-0002,SUP-0181,MAT-0062,2026-03-06,2026-02-24,2026-02-24,252.0,256.63,256.63,0.0,0,0,0,On Time
DEL-0000132,PO-0000132,PRJ-0002,SUP-0108,MAT-0155,2026-06-03,2026-05-16,2026-05-16,54.0,54.59,54.59,0.0,0,0,0,On Time
DEL-0000133,PO-0000133,PRJ-0002,SUP-0085,MAT-0168,2026-09-13,2026-11-05,2026-11-05,497.0,510.95,510.95,0.0,0,0,0,On Time
DEL-0000134,PO-0000134,PRJ-0002,SUP-0278,MAT-0209,2026-01-06,2025-12-17,2025-12-18,171.0,178.0,178.0,0.0,1,1,0,Late
DEL-0000135,PO-0000135,PRJ-0002,SUP-0097,MAT-0237,2026-08-26,2026-08-13,2026-08-13,168.0,160.43,160.43,0.0,0,0,0,On Time
DEL-0000136,PO-0000136,PRJ-0002,SUP-0326,MAT-0179,2026-05-03,2026-04-12,2026-04-12,189.0,191.47,191.47,0.0,0,0,0,On Time
DEL-0000137,PO-0000137,PRJ-0002,SUP-0347,MAT-0156,2026-03-02,2026-02-10,2026-02-12,79.0,75.3,75.3,0.0,2,0,0,On Time
DEL-0000138,PO-0000138,PRJ-0002,SUP-0040,MAT-0211,2026-08-27,2026-08-06,2026-08-06,56.0,57.33,57.33,0.0,0,0,0,On Time
DEL-0000139,PO-0000139,PRJ-0002,SUP-0271,MAT-0153,2026-09-13,2026-09-08,2026-09-16,560.0,587.37,587.37,0.0,8,1,0,Late
DEL-0000140,PO-0000140,PRJ-0002,SUP-0090,MAT-0001,2026-09-09,2026-08-26,2026-08-26,260.0,270.42,270.42,0.0,0,0,0,On Time
DEL-0000141,PO-0000141,PRJ-0002,SUP-0199,MAT-0243,2026-08-09,2026-08-02,2026-08-04,4.0,4.17,4.17,0.0,2,0,0,On Time
DEL-0000142,PO-0000142,PRJ-0002,SUP-0249,MAT-0173,2026-08-03,2026-07-16,2026-07-16,192.0,201.01,201.01,0.0,0,0,0,On Time
DEL-0000143,PO-0000143,PRJ-0002,SUP-0051,MAT-0134,2026-09-13,2026-10-06,2026-10-20,702.0,669.03,669.03,0.0,14,1,0,Late
DEL-0000144,PO-0000144,PRJ-0002,SUP-0295,MAT-0161,2026-04-14,2026-03-24,2026-03-26,216.0,200.49,200.49,0.0,2,0,0,On Time
DEL-0000145,PO-0000145,PRJ-0002,SUP-0229,MAT-0061,2026-01-11,2026-01-03,2026-01-11,490.0,487.37,487.37,0.0,8,1,0,Late
DEL-0000146,PO-0000146,PRJ-0002,SUP-0039,MAT-0098,2025-12-10,2025-11-20,2025-11-20,240.0,241.46,241.46,0.0,0,0,0,On Time
DEL-0000147,PO-0000147,PRJ-0002,SUP-0007,MAT-0055,2026-03-19,2026-03-07,2026-03-09,132.0,133.52,133.52,0.0,2,0,0,On Time
DEL-0000148,PO-0000148,PRJ-0002,SUP-0239,MAT-0153,2026-03-10,2026-02-20,2026-02-20,224.0,237.68,237.68,0.0,0,0,0,On Time
DEL-0000149,PO-0000149,PRJ-0002,SUP-0062,MAT-0110,2026-09-13,2026-10-08,2026-10-08,868.0,841.12,841.12,0.0,0,0,0,On Time
DEL-0000150,PO-0000150,PRJ-0002,SUP-0239,MAT-0001,2026-09-13,2026-10-27,2026-10-27,180.0,177.23,177.23,0.0,0,0,0,On Time
DEL-0000151,PO-0000151,PRJ-0002,SUP-0315,MAT-0157,2026-01-29,2026-01-15,2026-01-17,59.0,59.09,59.09,0.0,2,0,0,On Time
DEL-0000152,PO-0000152,PRJ-0002,SUP-0316,MAT-0151,2026-05-26,2026-05-06,2026-05-08,96.0,98.13,70.47,27.66,2,0,1,On Time - Quality Issue
DEL-0000153,PO-0000153,PRJ-0002,SUP-0045,MAT-0006,2026-08-05,2026-07-27,2026-07-27,376.0,359.67,316.69,42.98,0,0,1,On Time - Quality Issue
DEL-0000154,PO-0000154,PRJ-0002,SUP-0283,MAT-0013,2026-09-13,2026-10-18,2026-10-18,44.0,44.25,44.25,0.0,0,0,0,On Time
DEL-0000155,PO-0000155,PRJ-0002,SUP-0130,MAT-0026,2026-09-13,2026-08-27,2026-08-29,608.0,603.39,603.39,0.0,2,0,0,On Time
DEL-0000156,PO-0000156,PRJ-0002,SUP-0184,MAT-0146,2026-02-06,2026-01-16,2026-01-16,280.0,270.29,270.29,0.0,0,0,0,On Time
DEL-0000157,PO-0000157,PRJ-0002,SUP-0298,MAT-0043,2026-06-20,2026-06-03,2026-06-03,623.0,660.33,660.33,0.0,0,0,0,On Time
DEL-0000158,PO-0000158,PRJ-0002,SUP-0245,MAT-0053,2026-06-29,2026-06-19,2026-06-19,290.0,292.05,292.05,0.0,0,0,0,On Time
DEL-0000159,PO-0000159,PRJ-0002,SUP-0212,MAT-0180,2026-05-12,2026-05-11,2026-05-11,169.0,178.23,178.23,0.0,0,0,0,On Time
DEL-0000160,PO-0000160,PRJ-0002,SUP-0142,MAT-0034,2025-12-25,2025-12-15,2025-12-15,98.0,93.14,70.38,22.76,0,0,1,On Time - Quality Issue
DEL-0000161,PO-0000161,PRJ-0002,SUP-0225,MAT-0248,2026-04-24,2026-04-06,2026-04-08,108.0,108.78,108.78,0.0,2,0,0,On Time
DEL-0000162,PO-0000162,PRJ-0002,SUP-0293,MAT-0079,2026-09-13,2026-10-30,2026-11-01,468.0,459.89,459.89,0.0,2,0,0,On Time
DEL-0000163,PO-0000163,PRJ-0002,SUP-0181,MAT-0086,2026-02-27,2026-02-23,2026-02-23,170.0,172.76,172.76,0.0,0,0,0,On Time
